,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,o__Sphingomonadales (UID3310),26,569,293,196,364,9,0,0,0,67.76,1.44,22.22,2995,2935,559,genus,0.95,0.93,0.33,0.24,0.58,0.97,0.9,True
SemiBin_1,root (UID1),5656,56,24,53,3,0,0,0,0,12.5,0.0,0.0,462,437,97,family,0.67,0.64,0.46,0.46,1.14,0.63,0.4,False
SemiBin_10,c__Gammaproteobacteria (UID4443),356,448,269,55,388,5,0,0,0,88.44,1.43,20.0,3333,3175,444,genus,0.88,0.84,0.35,0.09,0.2,0.76,0.64,True
SemiBin_100,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,515,189,86,kingdom,1.0,0.37,0.0,0.02,0.04,0.4,0.15,True
SemiBin_102,k__Bacteria (UID203),5449,103,57,99,4,0,0,0,0,7.02,0.0,0.0,293,284,61,genus,0.5,0.48,0.23,0.59,2.9,0.63,0.3,True
SemiBin_104,k__Archaea (UID2),207,149,107,140,7,1,1,0,0,2.3,1.4,0.0,338,78,53,kingdom,1.0,0.23,0.0,0.14,0.32,0.37,0.09,True
SemiBin_105,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,435,198,37,phylum,0.93,0.42,0.24,0.3,0.96,0.43,0.18,True
SemiBin_107,k__Archaea (UID2),207,149,107,139,10,0,0,0,0,3.47,0.0,0.0,581,203,125,kingdom,1.0,0.35,0.0,0.06,0.13,0.37,0.13,True
SemiBin_108,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,323,125,41,kingdom,0.98,0.38,0.0,0.0,0.0,0.4,0.15,True
SemiBin_11,k__Bacteria (UID2569),434,278,186,142,134,2,0,0,0,54.95,1.08,50.0,1293,1205,293,family,0.81,0.75,0.07,0.75,4.46,0.54,0.41,True
SemiBin_110,c__Gammaproteobacteria (UID4443),356,451,270,275,167,9,0,0,0,31.35,1.28,66.67,727,721,128,order,0.99,0.98,0.22,0.05,0.11,0.95,0.93,True
SemiBin_111,k__Bacteria (UID203),5449,104,58,95,9,0,0,0,0,13.79,0.0,0.0,452,426,110,genus,0.77,0.73,1.0,0.04,0.08,0.78,0.57,False
