,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID203),5449,104,58,102,2,0,0,0,0,0.31,0.0,0.0,348,287,40,genus,0.67,0.55,0.43,0.69,5.37,0.68,0.37,True
SemiBin_1,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,338,327,56,genus,0.76,0.73,0.49,0.85,10.63,0.96,0.7,False
SemiBin_10,o__Clostridiales (UID1212),172,257,149,54,203,0,0,0,0,80.98,0.0,0.0,1916,1885,276,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True
SemiBin_102,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,320,294,27,genus,0.68,0.62,0.16,0.84,9.48,0.71,0.44,True
SemiBin_105,o__Selenomonadales (UID1024),64,334,167,4,329,1,0,0,0,98.2,0.2,0.0,2097,2021,31,family,0.92,0.89,0.18,0.07,0.15,0.75,0.67,True
SemiBin_107,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,161,154,25,family,0.97,0.93,0.55,0.05,0.11,0.92,0.86,False
SemiBin_109,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,238,109,11,class,0.88,0.4,0.06,0.14,0.33,0.42,0.17,True
SemiBin_11,o__Clostridiales (UID1212),172,261,147,4,256,1,0,0,0,98.07,0.68,0.0,2164,2045,195,family,0.94,0.89,0.16,0.1,0.22,0.74,0.66,True
SemiBin_111,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,266,255,7,genus,0.89,0.85,0.27,0.51,1.74,0.9,0.77,True
SemiBin_114,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,250,230,27,order,0.87,0.8,0.17,0.17,0.42,0.73,0.59,True
SemiBin_119,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,226,219,26,family,0.96,0.93,0.32,0.65,2.76,0.96,0.9,True
SemiBin_12,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,413,388,53,family,0.94,0.88,0.17,0.07,0.16,0.89,0.78,True
SemiBin_122,p__Firmicutes (UID1022),100,295,158,3,291,1,0,0,0,98.1,0.63,0.0,1819,1657,33,kingdom,1.0,0.91,0.0,0.0,0.0,0.94,0.86,True
SemiBin_126,k__Bacteria (UID203),5449,102,56,97,5,0,0,0,0,1.79,0.0,0.0,343,312,37,genus,0.76,0.69,0.52,0.47,2.0,0.8,0.56,False
SemiBin_13,o__Bacteroidales (UID2654),163,486,266,35,447,4,0,0,0,94.72,1.07,50.0,3514,3400,340,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.93,True
SemiBin_133,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,307,144,15,class,0.87,0.41,0.15,0.28,0.87,0.49,0.2,True
SemiBin_14,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,709,566,52,genus,0.83,0.66,0.64,0.12,0.28,0.87,0.57,False
SemiBin_144,k__Bacteria (UID203),5449,103,57,96,7,0,0,0,0,6.17,0.0,0.0,253,240,67,genus,0.81,0.77,0.41,0.42,1.73,0.73,0.56,True
SemiBin_15,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,413,316,45,genus,0.65,0.5,0.42,0.69,4.95,0.65,0.32,True
SemiBin_156,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,259,250,17,family,0.95,0.92,0.07,0.03,0.06,0.94,0.86,True
SemiBin_159,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,440,385,28,genus,0.71,0.62,0.74,0.47,2.04,0.84,0.52,False
SemiBin_16,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,234,185,29,class,0.95,0.75,0.89,0.02,0.05,0.74,0.56,False
SemiBin_167,o__Clostridiales (UID1212),172,263,149,12,251,0,0,0,0,95.6,0.0,0.0,2086,2035,24,genus,0.88,0.85,0.1,0.07,0.16,0.96,0.82,True
SemiBin_17,p__Bacteroidetes (UID2605),350,314,208,10,301,3,0,0,0,95.67,1.2,33.33,1855,1794,178,genus,0.96,0.92,0.43,0.03,0.06,0.97,0.89,True
