sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_27.fa	OTU_97.39679.0	0.6915077695922779	1.0	2596597	1795567	1795567	0.023529411764705882	1.0	85	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_5.fa	OTU_97.34527.0	0.6434069017323913	1.0	3341335	2149838	2149838	0.007518796992481203	1.0	133	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_183.fa	OTU_97.44294.0	1.0	1.0	1924507	1924507	1924507	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_191.fa	OTU_97.45365.0	0.9115004740370701	1.0	2300453	2096864	2096864	0.05555555555555555	1.0	18	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_218.fa	OTU_97.31370.0	0.9919562847515622	1.0	3067488	3042814	3042814	0.625	1.0	8	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_221.fa	OTU_97.44129.0	1.0	1.0	2031652	2031652	2031652	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_30.fa	OTU_97.29545.0	0.731821921998103	1.0	2913083	2131858	2131858	0.014492753623188406	1.0	69	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_307.fa	OTU_97.30766.0	1.0	1.0	2767893	2767893	2767893	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_35.fa	OTU_97.20.0	0.8879823776373824	1.0	2591253	2300987	2300987	0.04	1.0	25	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_36.fa	OTU_97.42422.0	0.8024199845630348	1.0	2663736	2137435	2137435	0.016666666666666666	1.0	60	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_37.fa	OTU_97.44958.0	0.9743017380993536	1.0	1816582	1769899	1769899	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_4.fa	OTU_97.42948.0	0.9928963085222213	1.0	2399879	2382831	2382831	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_52.fa	OTU_97.39115.0	0.9222057902488713	1.0	2324736	2143885	2143885	0.030303030303030304	1.0	33	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_127.fa	OTU_97.44228.0	0.861331364104098	1.0	2567502	2211470	2211470	0.022222222222222223	1.0	45	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_57.fa	OTU_97.35864.0	0.7474852002803962	1.0	2971509	2221159	2221159	0.014925373134328358	1.0	67	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_62.fa	OTU_97.16209.0	0.7935942437989061	1.0	2744032	2177648	2177648	0.015384615384615385	1.0	65	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_63.fa	OTU_97.23.1	0.9481406881316362	1.0	2247041	2130511	2130511	0.0625	1.0	16	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_65.fa	OTU_97.35376.0	0.8259895493597683	1.0	2578598	2129895	2129895	0.07692307692307693	1.0	13	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_66.fa	OTU_97.21322.0	0.6690150124757914	1.0	3058323	2046064	2046064	0.047619047619047616	1.0	21	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_71.fa	OTU_97.30394.0	0.9399130839997859	1.0	2278982	2142045	2142045	0.125	1.0	16	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_74.fa	OTU_97.45053.0	0.6860085123948582	1.0	2790754	1914481	1914481	0.010752688172043012	1.0	93	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_83.fa	OTU_97.34726.0	0.8391623192973435	1.0	3014275	2529466	2529466	0.015384615384615385	1.0	65	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/fairy/17/output4/output_recluster_bins/SemiBin_89.fa	OTU_97.22593.0	0.9421206437372408	1.0	1929980	1818274	1818274	0.06666666666666667	1.0	15	1	1
