sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_43.fa	OTU_97.40488.0	0.9940046238066147	1.0	2003544	1991532	1991532	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_30.fa	OTU_97.38340.1	1.0	1.0	1871079	1871079	1871079	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_28.fa	OTU_97.40481.0	0.9189445770069091	1.0	2431139	2234082	2234082	0.1	1.0	20	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_49.fa	OTU_97.31173.1	0.7518524040197034	1.0	2642782	1986982	1986982	0.07692307692307693	1.0	13	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_56.fa	OTU_97.43913.0	1.0	1.0	1848753	1848753	1848753	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_44.fa	OTU_97.44002.0	1.0	1.0	2330448	2330448	2330448	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_67.fa	OTU_97.36767.0	1.0	1.0	1977076	1977076	1977076	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_61.fa	OTU_97.43733.0	1.0	1.0	3360992	3360992	3360992	1.0	1.0	11	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_20.fa	OTU_97.38087.0	0.9938809313072499	1.0	1906009	1894346	1894346	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_79.fa	OTU_97.40729.0	1.0	1.0	1972735	1972735	1972735	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_58.fa	OTU_97.43290.0	0.9940040175845309	1.0	3257181	3237651	3237651	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_17.fa	OTU_97.36793.0	0.999417439890623	1.0	2909571	2907876	2907876	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_57.fa	OTU_97.43292.0	1.0	1.0	2534169	2534169	2534169	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_41.fa	OTU_97.43290.1	1.0	1.0	2131328	2131328	2131328	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bowtie2/S24/new_norm/output0/output_recluster_bins/SemiBin_42.fa	OTU_97.39229.0	0.9989972587426099	1.0	2318644	2316319	2316319	0.75	1.0	4	3	3
