sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	OTU_97.34177.0	OTU_97.34177.0	1.0	1.0	2173660	2173660	2173660	1.0	1.0	3986	3986	3986
gsa	OTU_97.44629.0	OTU_97.44629.0	1.0	1.0	1586454	1586454	1586454	1.0	1.0	2958	2958	2958
gsa	OTU_97.39768.0	OTU_97.39768.0	1.0	1.0	3572955	3572955	3572955	1.0	1.0	851	851	851
gsa	OTU_97.30300.0	OTU_97.30300.0	1.0	1.0	2452060	2452060	2452060	1.0	1.0	4538	4538	4538
gsa	OTU_97.45246.0	OTU_97.45246.0	1.0	1.0	2010207	2010207	2010207	1.0	1.0	466	466	466
gsa	OTU_97.40593.0	OTU_97.40593.0	1.0	1.0	1646623	1646623	1646623	1.0	1.0	3006	3006	3006
gsa	OTU_97.22413.0	OTU_97.22413.0	1.0	1.0	1981674	1981674	1981674	1.0	1.0	3315	3315	3315
gsa	OTU_97.35249.1	OTU_97.35249.1	1.0	1.0	840664	840664	840664	1.0	1.0	2945	2945	2945
gsa	OTU_97.37323.0	OTU_97.37323.0	1.0	1.0	74814	74814	74814	1.0	1.0	308	308	308
gsa	OTU_97.7928.0	OTU_97.7928.0	1.0	1.0	2685071	2685071	2685071	1.0	1.0	599	599	599
gsa	OTU_97.42356.0	OTU_97.42356.0	1.0	1.0	1609293	1609293	1609293	1.0	1.0	2990	2990	2990
gsa	OTU_97.2231.0	OTU_97.2231.0	1.0	1.0	477385	477385	477385	1.0	1.0	1874	1874	1874
gsa	OTU_97.34830.0	OTU_97.34830.0	1.0	1.0	2604699	2604699	2604699	1.0	1.0	1820	1820	1820
gsa	OTU_97.37297.0	OTU_97.37297.0	1.0	1.0	2659882	2659882	2659882	1.0	1.0	391	391	391
gsa	OTU_97.25550.0	OTU_97.25550.0	1.0	1.0	1973219	1973219	1973219	1.0	1.0	3650	3650	3650
gsa	OTU_97.34663.0	OTU_97.34663.0	1.0	1.0	445589	445589	445589	1.0	1.0	1718	1718	1718
gsa	OTU_97.19625.0	OTU_97.19625.0	1.0	1.0	2264616	2264616	2264616	1.0	1.0	1334	1334	1334
gsa	OTU_97.37323.1	OTU_97.37323.1	1.0	1.0	2187902	2187902	2187902	1.0	1.0	4130	4130	4130
gsa	OTU_97.34821.0	OTU_97.34821.0	1.0	1.0	2179218	2179218	2179218	1.0	1.0	4048	4048	4048
gsa	OTU_97.391.1	OTU_97.391.1	1.0	1.0	91779	91779	91779	1.0	1.0	379	379	379
gsa	OTU_97.34702.0	OTU_97.34702.0	1.0	1.0	2272546	2272546	2272546	1.0	1.0	1595	1595	1595
