,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,k__Bacteria (UID203),5449,104,58, 14,53,37,0,0,0, 80.34, 36.32,67.57,1977,1864,333,phylum,0.93,0.88,0.51,0.07,0.14,0.54,0.48,False
bin.1,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,950,437,243,kingdom,0.99,0.46,0.0,0.0,0.0,0.38,0.17,True
bin.10, c__Gammaproteobacteria (UID4443),356, 451, 270,221, 150,63,10, 5,2, 48.36, 25.05,10.49,1484,1387,219,class,0.87,0.81,0.16,0.16,0.4,0.53,0.43,True
bin.103,k__Bacteria (UID203),5449,103,58, 32,56,15,0,0,0, 54.83,3.92, 6.67,956,944,146,phylum,0.99,0.98,1.0,0.04,0.09,0.96,0.95,False
bin.1030, root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,336,153,19,kingdom,1.0,0.46,0.05,0.03,0.05,0.4,0.18,True
bin.106,c__Gammaproteobacteria (UID4443),356, 451, 270,161, 207,77,6,0,0, 59.63, 21.48,32.63,1460,1377,183,class,0.9,0.85,0.04,0.14,0.32,0.53,0.45,True
bin.107, k__Bacteria (UID2495),2993,147,91, 64,60,21,2,0,0, 73.45, 20.52, 3.70,1333,1210,158,phylum,0.96,0.87,0.62,0.14,0.34,0.5,0.44,False
bin.108, k__Bacteria (UID2982), 88, 230, 148, 0,230,0, 0,0,0, 100.00, 0.00, 0.00,1693,1593,74,genus,0.79,0.74,0.46,0.03,0.06,0.67,0.5,False
bin.11, k__Bacteria (UID203),5449,102,58, 33,49,8, 7,5,0, 59.38, 17.42, 3.39,674,623,92,phylum,0.93,0.86,0.38,0.07,0.15,0.54,0.46,True
bin.110,k__Bacteria (UID203),5449,104,58, 98,6, 0, 0,0,0, 10.34,0.00, 0.00,258,244,52,phylum,0.95,0.9,0.93,0.12,0.26,0.56,0.5,False
bin.112,k__Bacteria (UID203),5449,102,58, 79,22,1, 0,0,0, 34.48,1.72, 0.00,1220,1098,236,phylum,0.94,0.84,0.56,0.06,0.13,0.52,0.44,False
bin.114,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,443,160,60,kingdom,1.0,0.36,0.0,0.07,0.16,0.43,0.16,True
bin.115,o__Actinomycetales (UID1696),455, 315, 190, 90, 221,4, 0,0,0, 70.13,1.02,50.00,2118,1862,361,phylum,0.94,0.83,0.36,0.09,0.2,0.58,0.48,True
bin.117,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,410,196,45,phylum,0.92,0.44,0.14,0.31,1.0,0.43,0.19,True
bin.119,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,229,79,18,kingdom,1.0,0.34,0.0,0.03,0.05,0.43,0.15,True
bin.12, p__Proteobacteria (UID3880), 1495,242, 151,162,74,6, 0,0,0, 30.84,0.22, 0.00,596,589,136,genus,0.93,0.92,0.98,0.14,0.33,0.86,0.79,False
bin.120,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,124,123,79,phylum,0.93,0.92,0.65,0.25,0.66,0.46,0.43,False
bin.121,k__Bacteria (UID203),5449,104,58, 76,28,0, 0,0,0, 35.11,0.00, 0.00,762,731,173,order,0.95,0.91,0.08,0.12,0.28,0.6,0.55,True
bin.124, f__Rhodobacteraceae (UID3340), 84, 568, 330,200, 298,58,11, 1,0, 66.45, 16.72,38.14,2688,2554,471,genus,0.75,0.71,0.56,0.05,0.11,0.82,0.58,False
bin.126, k__Bacteria (UID2982), 88, 230, 148, 98, 125,6, 1,0,0, 53.01,3.51, 0.00,1343,1228,303,class,0.82,0.75,0.37,0.57,2.65,0.58,0.44,True
bin.128,root (UID1), 5656, 56,24, 55,1, 0, 0,0,0,4.17,0.00, 0.00,663,530,97,order,0.52,0.41,0.37,0.65,4.86,0.48,0.2,True
bin.13, p__Euryarchaeota (UID3), 148, 188, 125,104,81,3, 0,0,0, 41.39,2.40, 0.00,982,843,216,kingdom,1.0,0.86,0.18,0.1,0.22,0.57,0.49,True
bin.130,c__Gammaproteobacteria (UID4443),356, 451, 270,148, 283,19,1,0,0, 62.29,3.23,54.55,2190,2025,437,class,0.91,0.84,0.14,0.29,0.86,0.56,0.47,True
bin.132, p__Bacteroidetes (UID2591), 364, 303, 203,226,77,0, 0,0,0, 28.37,0.00, 0.00,593,529,139,phylum,0.92,0.82,0.41,0.06,0.13,0.48,0.4,True
bin.133,k__Bacteria (UID203),5449,104,58, 30,36,24,9,1,4, 76.55, 84.48, 5.35,3156,3073,268,class,0.94,0.92,0.48,0.03,0.06,0.74,0.68,False
bin.135,k__Bacteria (UID203),5449,104,58, 91,12,1, 0,0,0, 19.83,1.72,100.00,843,807,213,phylum,0.97,0.93,0.77,0.02,0.05,0.62,0.57,False
bin.136, k__Bacteria (UID2569),434, 278, 186, 17, 253,8, 0,0,0, 91.94,2.35,37.50,1494,1422,138,genus,0.45,0.42,0.05,0.42,1.68,0.55,0.23,True
bin.137,c__Alphaproteobacteria (UID3305),564, 349, 230,219, 129,1, 0,0,0, 37.12,0.43, 0.00,650,620,149,class,0.97,0.92,0.26,0.06,0.12,0.64,0.59,True
