sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_24.fa	OTU_97.43733.0	0.9864795843484897	1.0	3406700	3360640	3360640	0.5789473684210527	1.0	19	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_78.fa	OTU_97.8022.0	0.9898722019562559	1.0	3021486	2990885	2990885	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_2.fa	OTU_97.30084.0	0.9329188352642658	1.0	6771081	6316869	6316869	0.014925373134328358	1.0	134	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_84.fa	OTU_97.38087.0	0.9986677491973281	1.0	1896790	1894263	1894263	0.8	1.0	5	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_1.fa	OTU_97.36060.0	0.8435006342416957	1.0	4948429	4174003	4174003	0.008849557522123894	1.0	226	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_44.fa	OTU_97.38349.0	0.9171307704233417	1.0	2251113	2064565	2064565	0.016666666666666666	1.0	60	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_177.fa	OTU_97.3066.0	1.0	1.0	7122147	7122147	7122147	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_91.fa	OTU_97.43299.0	0.9987477804408313	1.0	1996455	1993955	1993955	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_16.fa	OTU_97.758.0	0.5845283340708521	1.0	7715058	4509670	4509670	0.0033333333333333335	1.0	300	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/bwa/25/new_norm/output1/output_recluster_bins/SemiBin_151.fa	OTU_97.36767.0	1.0	1.0	1977061	1977061	1977061	1.0	1.0	3	3	3
