sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_0.fa	OTU_97.34011.0	0.7973124430670597	1.0	3259317	2598694	2598694	0.005865102639296188	1.0	341	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_22.fa	OTU_97.32155.0	0.7826448983869825	1.0	3091287	2419380	2419380	0.022727272727272728	1.0	88	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_92.fa	OTU_97.34382.0	0.9717716929014021	1.0	2634802	2560426	2560426	0.6	1.0	15	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_91.fa	OTU_97.37290.0	0.9851034025271077	1.0	2834070	2791852	2791852	0.42857142857142855	1.0	14	6	6
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_86.fa	OTU_97.34663.1	1.0	1.0	2658250	2658250	2658250	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_52.fa	OTU_97.36230.0	0.9786677637159434	1.0	2357840	2307542	2307542	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_50.fa	OTU_97.11114.0	0.902684452240265	1.0	2617927	2363162	2363162	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_44.fa	OTU_97.34913.0	0.5634096992316803	1.0	4148143	2337104	2337104	0.004672897196261682	1.0	214	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_34.fa	OTU_97.80.0	0.7575716959797427	1.0	3044034	2306074	2306074	0.014388489208633094	1.0	139	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_27.fa	OTU_97.36502.0	0.9099603920210381	1.0	2133661	1941547	1941547	0.07142857142857142	1.0	14	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_26.fa	OTU_97.32419.1	0.9470680646727349	1.0	2496508	2364363	2364363	0.03125	1.0	32	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_25.fa	OTU_97.17807.0	0.9897448969506892	1.0	2428352	2403449	2403449	0.1111111111111111	1.0	9	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_97.fa	OTU_97.21926.0	0.9907897555708028	1.0	2763336	2737885	2737885	0.2727272727272727	1.0	11	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_120.fa	OTU_97.36185.0	1.0	1.0	2474135	2474135	2474135	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_102.fa	OTU_97.37297.0	0.9874108217393147	1.0	2712965	2678811	2678811	0.4444444444444444	1.0	9	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_111.fa	OTU_97.36161.1	1.0	1.0	3433002	3433002	3433002	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_112.fa	OTU_97.30815.1	1.0	1.0	2819198	2819198	2819198	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_14.fa	OTU_97.89.0	0.9673993572211058	0.9986692933294509	3445975	3333634	3338076	0.06666666666666667	0.5	15	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_59.fa	OTU_97.22985.0	0.9746329271599055	0.9946111125043321	2482273	2419305	2432413	0.9852941176470589	0.8893805309734514	204	201	226
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_18.fa	OTU_97.44585.0	0.41447490675529025	0.9913184258144677	6791270	2814811	2839462	0.002398081534772182	0.5	417	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_4.fa	OTU_97.35712.0	0.6929726413180679	0.9908372813772125	4185399	2900367	2927188	0.011764705882352941	0.5	85	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_23.fa	OTU_97.36159.0	0.9992382875387834	0.9877957531808387	5410178	5406057	5472849	0.9977578475336323	0.9081632653061225	446	445	490
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_66.fa	OTU_97.34817.0	1.0	0.9847718245017499	2510402	2510402	2549222	1.0	0.8879310344827587	206	206	232
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_53.fa	OTU_97.989.0	1.0	0.9841968043635754	3852725	3852725	3914588	1.0	0.8879551820728291	317	317	357
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_161.fa	OTU_97.1263.0	1.0	0.9813406696535105	2808702	2808702	2862107	1.0	0.5	1	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_5.fa	OTU_97.37297.1	0.5463328730205116	0.9808165046982332	5235570	2860364	2916309	0.005988023952095809	0.5	167	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_62.fa	OTU_97.35048.0	0.9891778216605092	0.9784934824877962	2525924	2498588	2553505	0.9714285714285714	0.8986784140969163	210	204	227
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_49.fa	OTU_97.10083.0	0.9984999517435159	0.9775815553492402	2196596	2193301	2243599	0.3333333333333333	0.5	3	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_17.fa	OTU_97.35323.1	0.9663854560980105	0.9775409529131979	2501447	2417362	2472901	0.9523809523809523	0.8759124087591241	252	240	274
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_7.fa	OTU_97.2571.0	0.9924054862404934	0.9761935216365143	7128962	7074821	7247355	0.9810017271157168	0.8958990536277602	579	568	634
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_71.fa	OTU_97.7928.0	1.0	0.9715061198602145	2631540	2631540	2708722	1.0	0.8593155893536122	226	226	263
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_45.fa	OTU_97.2075.0	0.9985322046286478	0.967883340052994	3505257	3500112	3616254	0.9931972789115646	0.8795180722891566	294	292	332
