sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_176.fa	OTU_97.588.0	1.0	1.0	3871802	3871802	3871802	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_165.fa	OTU_97.44237.0	1.0	1.0	2616342	2616342	2616342	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_24.fa	OTU_97.37297.0	0.7035463343619148	1.0	3807509	2678759	2678759	0.018691588785046728	1.0	214	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_80.fa	OTU_97.39280.0	1.0	1.0	4142299	4142299	4142299	1.0	1.0	25	25	25
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_194.fa	OTU_97.41740.0	0.996660238118808	1.0	2767862	2758618	2758618	0.4	1.0	5	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_19.fa	OTU_97.31175.0	0.5357905215210252	1.0	4362873	2337586	2337586	0.004761904761904762	1.0	210	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_81.fa	OTU_97.474.0	0.995529593920917	1.0	3585804	3569774	3569774	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_272.fa	OTU_97.45281.1	1.0	1.0	3350618	3350618	3350618	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_29.fa	OTU_97.35010.0	0.44918726449404073	1.0	6277442	2819747	2819747	0.009900990099009901	1.0	101	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi_hash/seed/S20/new_norm/output2/output_recluster_bins/SemiBin_175.fa	OTU_97.36161.1	1.0	1.0	3433006	3433006	3433006	1.0	1.0	1	1	1
