,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1, k__Bacteria (UID203),5449,104,58, 87,17, 0,0,0, 0, 17.24,0.00, 0.00,613,410,178,class,0.74,0.5,0.19,0.52,2.64,0.47,0.23,True
bin.10, k__Bacteria (UID2565),2921,143,88, 91,49, 3,0,0, 0, 23.36,0.70,33.33,432,351,104,class,0.75,0.61,0.11,0.62,3.8,0.49,0.3,True
bin.102, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,333,257,91,order,0.59,0.45,0.41,0.19,0.51,0.52,0.24,True
bin.107,k__Bacteria (UID2329),174, 149,89, 19, 127, 3,0,0, 0, 83.26,2.25, 0.00,582,418,75,phylum,0.82,0.59,0.07,0.53,2.02,0.45,0.26,True
bin.109,k__Bacteria (UID2329),174, 149,89, 51,97, 1,0,0, 0, 57.53,1.12, 0.00,941,763,172,phylum,0.82,0.67,0.33,0.55,2.26,0.59,0.39,True
bin.112, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,582,214,83,kingdom,1.0,0.37,0.0,0.03,0.07,0.43,0.16,True
bin.113, root (UID1), 5656, 56,24, 52,1,1,1,0, 1, 16.67, 37.50, 0.00,1022,865,212,order,0.61,0.51,0.31,0.52,2.85,0.51,0.26,True
bin.117, k__Bacteria (UID203),5449,104,58, 97,4,3,0,0, 0, 10.34,5.17, 0.00,413,398,89,phylum,0.96,0.92,0.88,0.04,0.08,0.57,0.53,False
bin.118, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,1129,512,146,kingdom,1.0,0.45,0.12,0.02,0.05,0.41,0.19,True
bin.119, k__Bacteria (UID203),5449,104,58, 92,11, 1,0,0, 0, 17.24,1.72, 0.00,348,332,75,phylum,0.94,0.9,0.79,0.13,0.3,0.55,0.49,False
