sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_98.fa	OTU_97.26691.0	1.0	1.0	2835735	2835735	2835735	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_85.fa	OTU_97.893.0	0.9879372403117315	1.0	1799754	1778044	1778044	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_47.fa	OTU_97.680.1	1.0	1.0	3914567	3914567	3914567	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_48.fa	OTU_97.1428.0	1.0	1.0	5752148	5752148	5752148	1.0	1.0	23	23	23
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_34.fa	OTU_97.9303.0	1.0	1.0	3085706	3085706	3085706	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_30.fa	OTU_97.8962.0	1.0	1.0	3503038	3503038	3503038	1.0	1.0	13	13	13
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_5.fa	OTU_97.27397.0	0.6867024746218762	1.0	5494496	3773084	3773084	0.0045871559633027525	1.0	436	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_50.fa	OTU_97.38031.0	1.0	1.0	3829150	3829150	3829150	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_55.fa	OTU_97.44481.0	1.0	1.0	2968081	2968081	2968081	1.0	1.0	11	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_58.fa	OTU_97.2573.1	0.998942511254222	1.0	3871436	3867342	3867342	0.9375	1.0	16	15	15
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_80.fa	OTU_97.680.0	1.0	1.0	4207030	4207030	4207030	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_70.fa	OTU_97.20224.0	1.0	1.0	4308279	4308279	4308279	1.0	1.0	10	10	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_87.fa	OTU_97.577.0	1.0	1.0	5749404	5749404	5749404	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_89.fa	OTU_97.512.0	1.0	1.0	3611890	3611890	3611890	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_90.fa	OTU_97.1047.0	1.0	1.0	3611881	3611881	3611881	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_91.fa	OTU_97.1969.0	1.0	1.0	3256676	3256676	3256676	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/strobealign/11/new_norm/output0/output_recluster_bins/SemiBin_112.fa	OTU_97.4007.0	1.0	1.0	4150252	4150252	4150252	1.0	1.0	4	4	4
