sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_86.fa	OTU_97.44129.0	1.0	1.0	2031549	2031549	2031549	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_140.fa	OTU_97.40838.0	1.0	1.0	3631515	3631515	3631515	1.0	1.0	10	10	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_154.fa	OTU_97.237.0	1.0	1.0	3176056	3176056	3176056	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_164.fa	OTU_97.30766.0	1.0	1.0	2767880	2767880	2767880	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_169.fa	OTU_97.44958.0	1.0	1.0	1769892	1769892	1769892	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_180.fa	OTU_97.9672.0	1.0	1.0	1986124	1986124	1986124	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_185.fa	OTU_97.45053.0	1.0	1.0	1914475	1914475	1914475	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_9.fa	OTU_97.44769.0	0.5051269136116191	1.0	3305595	1669745	1669745	0.012987012987012988	1.0	77	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_190.fa	OTU_97.43676.0	1.0	1.0	2571373	2571373	2571373	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_20.fa	OTU_97.42422.0	0.8031935661212786	1.0	2661163	2137429	2137429	0.006578947368421052	1.0	152	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_21.fa	OTU_97.45365.0	0.9960454875806934	1.0	2105190	2096865	2096865	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_3.fa	OTU_97.1906.0	0.6830420496929668	1.0	2395832	1636454	1636454	0.0125	1.0	80	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_71.fa	OTU_97.44228.0	0.8788028107727479	1.0	2516461	2211473	2211473	0.011235955056179775	1.0	89	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_31.fa	OTU_97.3142.0	0.7065884909583421	1.0	2363394	1669947	1669947	0.018867924528301886	1.0	53	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_7.fa	OTU_97.41395.0	0.898256133546177	1.0	1819176	1634086	1634086	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bowtie2/S13/new_norm/output2/output_recluster_bins/SemiBin_67.fa	OTU_97.41395.1	0.9303372800862355	1.0	1751482	1629469	1629469	0.02631578947368421	1.0	38	1	1
