,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,o__Clostridiales (UID1226), 155, 278, 158, 97, 170, 11, 0, 0, 0, 59.61,1.13,63.64,1364,1330,266,genus,0.94,0.91,0.14,0.12,0.28,0.9,0.82,True
bin.100, p__Proteobacteria (UID3887), 1487,256, 161, 5,247, 4,0, 0, 0, 96.89,1.97,25.00,2099,1933,86,order,0.91,0.84,0.27,0.02,0.05,0.74,0.62,True
bin.101,o__Clostridiales (UID1212), 172, 261, 147, 7,252, 2,0, 0, 0, 96.60,0.91, 0.00,2398,2317,95,kingdom,1.0,0.97,0.0,0.0,0.0,0.94,0.91,True
bin.102, k__Bacteria (UID203),5449,104,58,103,1,0,0, 0, 0,0.86,0.00, 0.00,556,450,68,genus,0.67,0.54,0.32,0.23,0.63,0.66,0.36,True
bin.105,o__Clostridiales (UID1212), 172, 261, 147, 11, 250, 0,0, 0, 0, 93.88,0.00, 0.00,2114,1992,115,genus,0.79,0.75,0.31,0.03,0.05,0.79,0.59,True
bin.106,o__Bacteroidales (UID2657), 160, 492, 269, 30, 461, 1,0, 0, 0, 92.38,0.12, 0.00,1908,1705,93,family,0.95,0.85,0.21,0.13,0.3,0.7,0.59,True
bin.11,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,309,279,42,phylum,0.99,0.89,0.77,0.03,0.05,0.79,0.7,False
bin.114, root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,742,636,148,phylum,0.97,0.83,0.53,0.06,0.14,0.7,0.58,False
bin.115, k__Bacteria (UID203),5449,104,58, 98,5,1,0, 0, 0, 10.34,1.72,100.00,299,286,13,genus,0.94,0.9,0.35,0.1,0.21,0.89,0.8,True
bin.117, f__Lachnospiraceae (UID1255), 90, 354, 174, 5,346, 3,0, 0, 0, 97.87,0.50,33.33,2298,2206,104,class,0.97,0.94,0.05,0.08,0.18,0.68,0.64,True
bin.118,k__Bacteria (UID2328),3167,126,75, 68,58, 0,0, 0, 0, 27.82,0.00, 0.00,357,314,93,genus,0.61,0.54,0.37,0.35,1.23,0.62,0.33,True
bin.119, k__Bacteria (UID203),5449,104,58, 96,8,0,0, 0, 0,8.78,0.00, 0.00,295,245,59,genus,0.76,0.63,0.35,0.24,0.68,0.75,0.47,True
bin.121, k__Bacteria (UID203),5449,104,58, 74,30, 0,0, 0, 0, 44.83,0.00, 0.00,1009,972,34,family,0.97,0.93,0.22,0.02,0.05,0.82,0.76,True
bin.128,o__Bacteroidales (UID2657), 160, 492, 269,386,91, 15, 0, 0, 0, 12.64,2.23,26.67,258,248,8,family,0.97,0.93,0.3,0.12,0.28,0.87,0.81,True
bin.13,k__Bacteria (UID203),5449,103,57, 97,6,0,0, 0, 0,0.96,0.00, 0.00,759,582,107,genus,0.57,0.44,0.43,0.73,7.02,0.7,0.31,True
bin.134, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,264,235,29,genus,0.92,0.82,0.49,0.5,2.04,0.73,0.6,False
bin.135,k__Bacteria (UID2372),131, 177, 106, 2,170, 5,0, 0, 0, 98.11,2.29, 0.00,1680,1616,64,kingdom,1.0,0.96,0.0,0.0,0.0,0.97,0.94,True
bin.136, k__Bacteria (UID203),5449,104,58, 85,19, 0,0, 0, 0, 27.59,0.00, 0.00,831,761,21,genus,0.87,0.79,0.11,0.5,1.6,0.67,0.53,True
bin.138, k__Bacteria (UID203),5449,104,58, 98,6,0,0, 0, 0, 10.34,0.00, 0.00,317,299,73,kingdom,1.0,0.94,0.0,0.0,0.0,0.97,0.92,True
