sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_136.fa	OTU_97.24.0	0.7063560669030875	1.0	3070232	2168677	2168677	0.004310344827586207	1.0	232	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_41.fa	OTU_97.45122.0	0.9494481586898121	1.0	2102416	1996135	1996135	0.03571428571428571	1.0	28	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_489.fa	OTU_97.34663.1	1.0	1.0	2658327	2658327	2658327	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_278.fa	OTU_97.34382.0	0.9947110522845931	1.0	2574047	2560433	2560433	0.75	1.0	12	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_473.fa	OTU_97.31367.0	1.0	1.0	1986710	1986710	1986710	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_263.fa	OTU_97.42356.0	0.8124092820650546	1.0	2576668	2093309	2093309	0.00847457627118644	1.0	118	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_264.fa	OTU_97.29.0	1.0	1.0	6913261	6913261	6913261	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_125.fa	OTU_97.44487.0	0.7552611216489039	1.0	2883273	2177624	2177624	0.00684931506849315	1.0	146	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_126.fa	OTU_97.42074.0	0.9968607214788267	1.0	2035181	2028792	2028792	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_435.fa	OTU_97.42482.0	0.9974665518029501	1.0	1706370	1702047	1702047	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_39.fa	OTU_97.44564.0	0.6102603718546887	1.0	2935878	1791650	1791650	0.004694835680751174	1.0	213	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_160.fa	OTU_97.37901.0	0.9833838693376796	1.0	8180966	8045030	8045030	0.3333333333333333	1.0	24	8	8
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_36.fa	OTU_97.18898.0	0.8555399095658415	1.0	2630422	2250431	2250431	0.037037037037037035	1.0	27	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_265.fa	OTU_97.45246.0	1.0	1.0	2036333	2036333	2036333	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_35.fa	OTU_97.35354.0	0.7264390711563905	1.0	3087495	2242877	2242877	0.016666666666666666	1.0	180	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_34.fa	OTU_97.32238.0	1.0	1.0	2264249	2264249	2264249	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_334.fa	OTU_97.44237.0	1.0	1.0	2616346	2616346	2616346	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_295.fa	OTU_97.20539.0	0.9987205641541022	1.0	2295543	2292606	2292606	0.8	1.0	5	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_293.fa	OTU_97.35347.0	0.9946227683097745	1.0	2229028	2217042	2217042	0.8	1.0	10	8	8
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_28.fa	OTU_97.31637.0	0.8806450433775597	1.0	2407466	2120123	2120123	0.05555555555555555	1.0	36	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bwa/19/new_norm/output3/output_recluster_bins/SemiBin_52.fa	OTU_97.45365.1	0.9030320777048573	1.0	2359801	2130976	2130976	0.07894736842105263	1.0	38	3	3
