sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_99.fa	OTU_97.44958.0	0.8738922093600254	1.0	2025315	1769907	1769907	0.012987012987012988	1.0	77	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_154.fa	OTU_97.44228.0	1.0	1.0	2211083	2211083	2211083	1.0	1.0	9	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_232.fa	OTU_97.38628.0	1.0	1.0	2309493	2309493	2309493	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_219.fa	OTU_97.20.0	1.0	1.0	2300986	2300986	2300986	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_46.fa	OTU_97.38106.0	0.6003934119659905	1.0	3619107	2172888	2172888	0.006211180124223602	1.0	161	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_209.fa	OTU_97.43676.0	1.0	1.0	2571304	2571304	2571304	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_58.fa	OTU_97.237.0	1.0	1.0	3176024	3176024	3176024	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_71.fa	OTU_97.45053.0	0.97767551610366	1.0	1957940	1914230	1914230	0.4666666666666667	1.0	15	7	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_193.fa	OTU_97.28342.0	1.0	1.0	2160234	2160234	2160234	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_181.fa	OTU_97.42987.0	1.0	1.0	2524781	2524781	2524781	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_180.fa	OTU_97.42986.0	1.0	1.0	2702087	2702087	2702087	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_8.fa	OTU_97.329.1	0.6888263035690018	1.0	2420873	1667561	1667561	0.008771929824561403	1.0	114	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_164.fa	OTU_97.14837.0	1.0	1.0	1805633	1805633	1805633	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/strobealign/15/new_norm/output4/output_recluster_bins/SemiBin_162.fa	OTU_97.23667.1	1.0	1.0	2167896	2167896	2167896	1.0	1.0	2	2	2
