,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,2453,1303,410,phylum,0.9,0.48,0.23,0.29,0.81,0.42,0.2,True
bin.10, k__Bacteria (UID203),5449, 95,49, 95,0,0,0, 0, 0,0.00,0.00, 0.00,2091,893,256,kingdom,1.0,0.43,0.06,0.03,0.06,0.41,0.18,True
bin.101,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1060,371,110,kingdom,1.0,0.35,0.0,0.04,0.09,0.45,0.16,True
bin.107,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,220,92,46,family,0.97,0.4,0.25,0.37,1.25,0.53,0.21,True
bin.108,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,564,205,69,kingdom,1.0,0.36,0.0,0.06,0.12,0.47,0.17,True
bin.11, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,443,167,54,kingdom,0.98,0.37,0.0,0.0,0.0,0.43,0.16,True
bin.110,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,241,40,31,kingdom,1.0,0.17,0.0,0.03,0.05,0.34,0.06,True
bin.117,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,342,231,59,genus,0.71,0.48,0.27,0.59,2.29,0.54,0.26,True
bin.121,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,919,429,144,phylum,0.91,0.42,0.11,0.22,0.59,0.43,0.18,True
bin.124,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,764,312,99,kingdom,1.0,0.41,0.09,0.09,0.2,0.4,0.16,True
bin.126,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,442,142,57,kingdom,0.99,0.32,0.0,0.0,0.0,0.43,0.14,True
bin.130,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,432,176,77,kingdom,0.99,0.4,0.0,0.0,0.0,0.47,0.19,True
bin.134,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,362,141,39,kingdom,1.0,0.39,0.0,0.03,0.06,0.42,0.16,True
