sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_98.fa	OTU_97.38845.0	0.995728410131668	1.0	2709998	2698422	2698422	0.8518518518518519	1.0	27	23	23
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_166.fa	OTU_97.27797.0	0.997266648843655	1.0	2270473	2264267	2264267	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_34.fa	OTU_97.38106.0	0.6152714805279533	1.0	3531524	2172846	2172846	0.020202020202020204	1.0	99	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_256.fa	OTU_97.39115.0	1.0	1.0	2143839	2143839	2143839	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_254.fa	OTU_97.20.0	1.0	1.0	2300989	2300989	2300989	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_7.fa	OTU_97.1906.0	0.4710100836243713	1.0	3474346	1636452	1636452	0.006944444444444444	1.0	144	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_61.fa	OTU_97.44935.0	1.0	1.0	1890620	1890620	1890620	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_40.fa	OTU_97.42422.0	0.7489055099929259	1.0	2854069	2137428	2137428	0.005076142131979695	1.0	197	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_41.fa	OTU_97.45365.0	0.996505114964324	1.0	2104218	2096864	2096864	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_199.fa	OTU_97.35197.0	1.0	1.0	1776373	1776373	1776373	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_197.fa	OTU_97.20031.0	1.0	1.0	6815179	6815179	6815179	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_187.fa	OTU_97.17727.0	1.0	1.0	2013561	2013561	2013561	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_62.fa	OTU_97.45053.0	1.0	1.0	1914488	1914488	1914488	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_182.fa	OTU_97.23667.1	1.0	1.0	2167908	2167908	2167908	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_60.fa	OTU_97.44228.0	1.0	1.0	2211482	2211482	2211482	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_53.fa	OTU_97.42987.0	0.7278974755499126	1.0	3468597	2524783	2524783	0.0036496350364963502	1.0	274	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_15.fa	OTU_97.44565.0	0.6697545157981429	1.0	2552262	1709389	1709389	0.0072992700729927005	1.0	137	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_43.fa	OTU_97.44958.0	0.7612055970462184	1.0	2325155	1769921	1769921	0.006329113924050633	1.0	158	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_44.fa	OTU_97.20271.0	1.0	1.0	1971204	1971204	1971204	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_45.fa	OTU_97.14837.0	0.9755862857439254	1.0	1850804	1805619	1805619	0.18181818181818182	1.0	11	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_114.fa	OTU_97.9740.1	0.928235620099705	1.0	1753976	1628103	1628103	0.03225806451612903	1.0	31	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_37.fa	OTU_97.42948.0	1.0	0.9987798177575762	2379524	2379524	2382431	1.0	0.8636363636363636	19	19	22
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_135.fa	OTU_97.29545.0	0.9981540480463792	0.9978519678330071	2130608	2126675	2131253	0.9523809523809523	0.9090909090909091	21	20	22
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_118.fa	OTU_97.39679.0	0.9933431196493817	0.9966446095783882	1799792	1787811	1793830	0.9454545454545454	0.9122807017543859	55	52	57
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_67.fa	OTU_97.16180.0	0.9505468093835343	0.9944286794524283	2271724	2159380	2171478	0.9428571428571428	0.9295774647887324	70	66	71
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_21.fa	OTU_97.24659.0	0.8920620478561645	0.99330246284805	8089240	7216104	7264760	0.4495192307692308	0.9121951219512195	416	187	205
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_72.fa	OTU_97.38169.0	0.9989933394850696	0.9914639452883771	7127527	7120352	7181655	0.989247311827957	0.8975609756097561	186	184	205
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_65.fa	OTU_97.31370.0	1.0	0.9820497220653213	2976522	2976522	3030928	1.0	0.843065693430657	231	231	274
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_2.fa	OTU_97.25225.0	1.0	0.980582891607041	2358446	2358446	2405147	1.0	0.8416289592760181	186	186	221
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_57.fa	OTU_97.1704.0	1.0	0.9791578527432683	2434770	2434770	2486596	1.0	0.8220338983050848	194	194	236
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_73.fa	OTU_97.36412.0	0.9935827514171401	0.9753055920014615	1891309	1879172	1926752	0.971830985915493	0.7796610169491526	142	138	177
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_75.fa	OTU_97.42878.0	0.9901674620481312	0.9706223122274804	2291982	2269446	2338135	0.9576719576719577	0.793859649122807	189	181	228
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_38.fa	OTU_97.30766.0	1.0	0.9645794198514063	2657833	2657833	2755432	1.0	0.7909407665505227	227	227	287
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_11.fa	OTU_97.40059.0	0.9691664694480001	0.954080787275432	2150743	2084428	2184750	0.25	0.8	16	4	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_5.fa	OTU_97.44769.0	0.6114376018177227	0.9236728545717529	2522277	1542215	1669655	0.05333333333333334	0.8	75	4	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_54.fa	OTU_97.42989.0	1.0	0.8409471847181711	1510178	1510178	1795806	1.0	0.49272727272727274	271	271	550
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_36.fa	OTU_97.38269.0	1.0	0.8209143404388283	2022971	2022971	2464290	1.0	0.47653958944281527	325	325	682
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_68.fa	OTU_97.34522.0	0.7087675097772878	0.8092424239404875	2291791	1624347	2007244	0.4895833333333333	0.5325779036827195	384	188	353
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_23.fa	OTU_97.5089.0	0.991953303306336	0.8079176010443975	1237775	1227815	1519728	0.985781990521327	0.47058823529411764	211	208	442
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_50.fa	OTU_97.44294.0	0.7292480738846683	0.8055052559355755	2088011	1522678	1890339	0.6365740740740741	0.48500881834215165	432	275	567
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_77.fa	OTU_97.39998.0	0.981691147469032	0.7980087700900875	1686015	1655146	2074095	0.9686411149825784	0.45723684210526316	287	278	608
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_31.fa	OTU_97.29.0	1.0	0.7931299032133146	5536038	5536038	6979989	1.0	0.6479514415781487	427	427	659
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_3.fa	OTU_97.44129.0	1.0	0.7686206076386716	1534993	1534993	1997075	1.0	0.44098360655737706	269	269	610
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_33.fa	OTU_97.43496.0	0.8944197178243999	0.7439165366587953	1700147	1520645	2044107	0.8555133079847909	0.40540540540540543	263	225	555
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_46.fa	OTU_97.13996.0	0.8503581191803234	0.7306108990792413	1563446	1329489	1819695	0.7906137184115524	0.4124293785310734	277	219	531
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_59.fa	OTU_97.40084.0	0.9762056869473696	0.6995897071686226	4457998	4351923	6220679	0.9547738693467337	0.42035398230088494	796	760	1808
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/seed/S19/new_norm/output1/output_recluster_bins/SemiBin_12.fa	OTU_97.38092.0	0.6399212377816383	0.6679372388000984	2295009	1468625	2198747	0.3745019920318725	0.44549763033175355	251	94	211
