,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,o__Clostridiales (UID1212),172,261,147,217,44,0,0,0,0,6.04,0.0,0.0,297,273,61,genus,0.77,0.71,0.44,0.33,1.11,0.75,0.53,True
SemiBin_1,c__Gammaproteobacteria (UID4201),1164,271,170,50,218,3,0,0,0,90.48,1.32,66.67,1999,1822,166,order,0.9,0.82,0.26,0.05,0.1,0.69,0.57,True
SemiBin_10,k__Bacteria (UID203),5449,104,58,88,16,0,0,0,0,15.99,0.0,0.0,638,573,148,order,0.93,0.84,0.53,0.02,0.05,0.72,0.6,False
SemiBin_101,o__Clostridiales (UID1212),172,263,149,162,101,0,0,0,0,26.56,0.0,0.0,678,601,145,family,0.83,0.74,0.29,0.2,0.51,0.63,0.46,True
SemiBin_102,o__Bacteroidales (UID2657),160,492,269,5,475,12,0,0,0,98.74,0.6,66.67,2348,2226,120,genus,0.94,0.89,0.29,0.04,0.07,0.81,0.73,True
SemiBin_103,k__Bacteria (UID203),5449,104,58,93,11,0,0,0,0,18.1,0.0,0.0,345,331,72,phylum,1.0,0.96,0.48,0.02,0.04,0.71,0.68,False
SemiBin_104,o__Clostridiales (UID1120),304,249,142,111,124,14,0,0,0,49.02,1.92,50.0,741,724,165,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
SemiBin_106,o__Bacteroidales (UID2657),160,491,268,96,392,3,0,0,0,88.02,0.65,100.0,1914,1830,152,genus,0.95,0.91,0.25,0.04,0.07,0.79,0.72,True
SemiBin_107,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,565,491,79,genus,0.84,0.73,0.25,0.33,0.97,0.71,0.52,True
SemiBin_109,k__Bacteria (UID203),5449,104,58,101,3,0,0,0,0,3.61,0.0,0.0,408,92,24,kingdom,1.0,0.23,0.0,0.0,0.0,0.48,0.11,True
SemiBin_11,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,274,249,40,genus,0.86,0.78,0.36,0.4,1.49,0.76,0.59,True
SemiBin_110,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,240,45,1,kingdom,1.0,0.19,0.0,0.07,0.14,0.36,0.07,True
SemiBin_112,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,297,282,72,class,0.95,0.9,0.67,0.12,0.28,0.73,0.66,False
SemiBin_114,o__Clostridiales (UID1226),155,278,158,46,230,2,0,0,0,87.43,0.08,100.0,2186,2118,263,genus,0.82,0.8,0.19,0.21,0.57,0.77,0.61,True
