,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,515,166,67,kingdom,0.99,0.32,0.0,0.0,0.0,0.42,0.13,True
SemiBin_10,k__Bacteria (UID203),5449,95,49,95,0,0,0,0,0,0.0,0.0,0.0,685,282,59,kingdom,1.0,0.41,0.16,0.02,0.04,0.41,0.17,True
SemiBin_100,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,954,304,149,kingdom,0.99,0.32,0.0,0.0,0.0,0.37,0.12,True
SemiBin_101,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,420,70,19,kingdom,1.0,0.17,0.0,0.19,0.43,0.37,0.06,True
SemiBin_102,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,329,138,44,kingdom,1.0,0.42,0.0,0.0,0.0,0.41,0.17,True
SemiBin_106,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,381,196,34,kingdom,1.0,0.51,0.3,0.06,0.13,0.46,0.24,True
SemiBin_107,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,563,210,77,kingdom,0.98,0.37,0.0,0.0,0.0,0.43,0.16,True
SemiBin_108,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,247,124,39,phylum,0.85,0.43,0.07,0.53,2.46,0.41,0.18,True
SemiBin_110,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,459,133,28,kingdom,1.0,0.29,0.0,0.03,0.06,0.41,0.12,True
SemiBin_111,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,604,297,74,kingdom,1.0,0.49,0.37,0.13,0.3,0.52,0.26,True
SemiBin_114,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,932,349,63,kingdom,1.0,0.37,0.0,0.03,0.06,0.45,0.17,True
SemiBin_118,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,493,84,20,kingdom,1.0,0.17,0.0,0.26,0.63,0.38,0.07,True
SemiBin_12,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,978,395,106,kingdom,1.0,0.4,0.03,0.05,0.11,0.41,0.16,True
SemiBin_121,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,805,352,97,kingdom,1.0,0.44,0.37,0.09,0.2,0.44,0.19,True
SemiBin_122,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,424,184,61,kingdom,1.0,0.43,0.0,0.04,0.09,0.42,0.18,True
SemiBin_123,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,312,112,49,kingdom,1.0,0.36,0.0,0.07,0.15,0.4,0.15,True
SemiBin_124,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,845,341,114,kingdom,1.0,0.4,0.07,0.09,0.18,0.39,0.16,True
SemiBin_127,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,306,88,37,kingdom,0.99,0.28,0.0,0.0,0.0,0.4,0.11,True
SemiBin_131,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,465,264,69,order,0.83,0.47,0.48,0.42,1.64,0.6,0.28,False
SemiBin_133,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,341,313,67,genus,0.7,0.64,0.75,0.36,1.2,0.8,0.51,False
SemiBin_139,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,305,125,40,kingdom,1.0,0.41,0.0,0.03,0.07,0.41,0.17,True
SemiBin_14,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,979,431,129,kingdom,1.0,0.44,0.31,0.07,0.15,0.47,0.21,True
SemiBin_141,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,368,128,41,kingdom,0.98,0.34,0.0,0.0,0.0,0.43,0.15,True
SemiBin_143,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,452,245,106,phylum,0.79,0.43,0.06,0.64,2.83,0.39,0.17,True
SemiBin_147,c__Alphaproteobacteria (UID3422),26,529,308,27,493,9,0,0,0,95.85,1.71,77.78,2957,2906,177,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True
SemiBin_148,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,780,334,95,kingdom,1.0,0.43,0.0,0.0,0.0,0.49,0.21,True
SemiBin_15,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,750,334,93,phylum,0.92,0.41,0.32,0.57,1.81,0.5,0.2,True
SemiBin_156,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,363,138,57,kingdom,0.99,0.38,0.0,0.0,0.0,0.41,0.15,True
SemiBin_161,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,595,103,47,kingdom,1.0,0.17,0.0,0.36,0.85,0.37,0.06,True
SemiBin_167,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,764,371,86,kingdom,1.0,0.49,0.39,0.11,0.23,0.52,0.25,True
SemiBin_172,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,319,136,40,kingdom,1.0,0.43,0.09,0.04,0.09,0.41,0.18,True
