sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_48.fa	OTU_97.33610.0	0.8753017032752982	1.0	2795379	2446800	2446800	0.010309278350515464	1.0	97	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_150.fa	OTU_97.36161.1	1.0	1.0	3433005	3433005	3433005	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_55.fa	OTU_97.34011.0	0.9747161858194744	1.0	2666093	2598684	2598684	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_57.fa	OTU_97.24447.1	0.5031194352079538	1.0	5631949	2833543	2833543	0.5	1.0	4	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_58.fa	OTU_97.31175.0	0.877218605722846	1.0	2664793	2337606	2337606	0.08333333333333333	1.0	12	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_62.fa	OTU_97.34663.1	0.7610332302343716	1.0	3493084	2658353	2658353	0.012195121951219513	1.0	82	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_25.fa	OTU_97.45281.1	0.9743756472246513	1.0	3438721	3350606	3350606	0.09090909090909091	1.0	22	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_3.fa	OTU_97.25427.0	0.7799510595261412	1.0	2762131	2154327	2154327	0.015151515151515152	1.0	66	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_38.fa	OTU_97.39766.0	0.19652308613344135	1.0	11896297	2337897	2337897	0.0625	1.0	16	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_11.fa	OTU_97.25427.1	0.9619347697253842	1.0	2259411	2173406	2173406	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_46.fa	OTU_97.24948.0	0.9753212929927159	1.0	2513827	2451789	2451789	0.05	1.0	20	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_47.fa	OTU_97.7441.0	0.8165974853909972	1.0	4052638	3309374	3309374	0.0047169811320754715	1.0	212	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_79.fa	OTU_97.26567.0	0.9461683769818447	0.9986723727155266	3533072	3342881	3347325	0.09090909090909091	0.5	11	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_74.fa	OTU_97.44585.0	0.26381290033792776	0.9913180858654409	10669736	2814814	2839466	0.005208333333333333	0.5	192	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_30.fa	OTU_97.35048.0	0.8226281715719271	0.9878538619046335	3073673	2528490	2559579	0.5986394557823129	0.8380952380952381	147	88	105
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_16.fa	OTU_97.44237.0	1.0	0.9601185015980961	2498381	2498381	2602159	1.0	0.7507987220447284	235	235	313
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_13.fa	OTU_97.45246.0	0.9411764118769033	0.9315053743259248	2003822	1885950	2024626	0.8984771573604061	0.7137096774193549	197	177	248
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_54.fa	OTU_97.1263.0	0.9817151549976916	0.9307307672256373	2709621	2660076	2858051	0.8761061946902655	0.8181818181818182	113	99	121
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_24.fa	OTU_97.34382.0	0.9039529162260044	0.770219477322642	2138826	1933398	2510191	0.9758713136729222	0.44282238442822386	373	364	822
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_50.fa	OTU_97.41740.0	1.0	0.7617518229815893	2059425	2059425	2703538	1.0	0.42414174972314506	383	383	903
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_42.fa	OTU_97.37770.0	0.9903963684901539	0.702894718754088	1280349	1268053	1804044	0.9836065573770492	0.41237113402061853	244	240	582
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_0.fa	OTU_97.31362.0	0.9766404818471087	0.6928960022279301	1895373	1851098	2671538	0.9587912087912088	0.38351648351648354	364	349	910
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_19.fa	OTU_97.10505.0	0.821384251349044	0.6090049286970984	1642274	1348938	2214987	0.7464788732394366	0.41245136186770426	142	106	257
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_10.fa	OTU_97.20828.0	0.708312083786041	0.6069145432766252	1894158	1341655	2210616	0.6982248520710059	0.44696969696969696	169	118	264
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_29.fa	OTU_97.42356.0	0.8723361998469822	0.5650117869251376	1329257	1159559	2052274	0.8638297872340426	0.3048048048048048	235	203	666
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_1.fa	OTU_97.45365.1	0.7484993969832642	0.546147140057708	1513225	1132648	2073888	0.7492163009404389	0.26853932584269663	319	239	890
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_40.fa	OTU_97.17807.0	0.7058700261410603	0.4400964342303237	1498409	1057682	2403296	0.038461538461538464	0.25	26	1	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_26.fa	OTU_97.4436.0	0.9937975317340327	0.3675600812403449	1226286	1218680	3315594	0.9847328244274809	0.32908163265306123	131	129	392
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/fairy/8/output0/output_recluster_bins/SemiBin_67.fa	OTU_97.32419.1	0.49484444213169243	0.3217772638237811	1537370	760759	2364241	0.02702702702702703	0.25	37	1	4
