sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_36.fa	OTU_97.544.0	1.0	1.0	2962442	2962442	2962442	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_33.fa	OTU_97.18938.0	1.0	1.0	2151141	2151141	2151141	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_6.fa	OTU_97.34494.0	0.9475326398771948	1.0	3038308	2878896	2878896	0.0625	1.0	16	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_59.fa	OTU_97.39526.0	0.9917949828968761	1.0	5354285	5310353	5310353	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_58.fa	OTU_97.44237.0	0.9964398255103183	1.0	2625714	2616366	2616366	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_57.fa	OTU_97.270.0	1.0	1.0	2501077	2501077	2501077	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_41.fa	OTU_97.34382.0	0.9842130449070898	1.0	2601705	2560632	2560632	0.75	1.0	12	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_37.fa	OTU_97.29637.1	0.9954270641457552	1.0	2446787	2435598	2435598	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_35.fa	OTU_97.10273.0	1.0	1.0	2528055	2528055	2528055	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_32.fa	OTU_97.24656.0	1.0	1.0	2106330	2106330	2106330	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_23.fa	OTU_97.35712.0	0.5055049808614382	1.0	5790665	2927210	2927210	0.4	1.0	5	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_21.fa	OTU_97.44585.0	0.9993981363344391	1.0	2841175	2839465	2839465	0.6666666666666666	1.0	3	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_17.fa	OTU_97.45365.1	0.9509631153484864	1.0	2240905	2131018	2131018	0.2727272727272727	1.0	11	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_11.fa	OTU_97.16297.0	0.5716075020448792	1.0	4846252	2770154	2770154	0.029411764705882353	1.0	34	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_60.fa	OTU_97.6382.0	1.0	1.0	5637352	5637352	5637352	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_4.fa	OTU_97.35920.0	0.7470783086396892	0.9926823292735548	3747658	2799794	2820433	0.018867924528301886	0.5	53	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_34.fa	OTU_97.32002.1	1.0	0.9926352157875259	2285217	2285217	2302172	1.0	0.3333333333333333	1	1	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_8.fa	OTU_97.35249.0	0.9987337220754452	0.9873730738914733	2942482	2938756	2976338	0.5	0.5	2	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_5.fa	OTU_97.35048.0	0.951728526368581	0.9745413524628678	2626023	2499261	2564551	0.1	0.14285714285714285	10	1	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_18.fa	OTU_97.45365.0	0.9880057912940936	0.8892463848826875	1887661	1865020	2097304	0.9698275862068966	0.7450331125827815	232	225	302
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_7.fa	OTU_97.37297.0	0.9334094835018276	0.769934807408602	2209669	2062526	2678832	0.3333333333333333	0.5	6	2	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_10.fa	OTU_97.35249.1	0.7308218421459615	0.41784922726782214	1584185	1157757	2770753	0.375	0.5454545454545454	48	18	33
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_9.fa	OTU_97.29637.0	0.9592846156166118	0.22146937252793686	629983	604333	2728743	0.9895833333333334	0.25132275132275134	96	95	378
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_15.fa	OTU_97.32002.0	0.9747279969374939	0.18934168315736427	316081	308093	1627180	0.9791666666666666	0.07868303571428571	144	141	1792
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/bowtie2/S28/new_norm/output2/output_recluster_bins/SemiBin_1.fa	OTU_97.32002.0	0.9945149269354772	0.13137329613195836	214947	213768	1627180	0.9901960784313726	0.056361607142857144	102	101	1792
