,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0, o__Bacteroidales (UID2657),160, 492, 269,191, 295,6,0, 0, 0, 63.56,1.61,33.33,2803,2758,660,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True
bin.1, o__Clostridiales (UID1212),172, 263, 149, 17, 244,2,0, 0, 0, 92.45,0.73, 0.00,2004,1862,246,family,0.91,0.84,0.08,0.66,4.22,0.61,0.51,True
bin.10, k__Bacteria (UID203), 5449,104,58, 71,32,1,0, 0, 0, 33.62,0.16, 0.00,653,634,158,order,0.99,0.96,0.82,0.1,0.22,0.95,0.91,False
bin.102, o__Clostridiales (UID1212),172, 263, 149, 36, 223,3,1, 0, 0, 81.03,2.46, 0.00,1729,1602,32,kingdom,1.0,0.93,0.0,0.0,0.0,0.87,0.81,True
bin.103,k__Bacteria (UID203), 5449,104,58, 88,14,2,0, 0, 0, 24.14,3.45, 0.00,706,679,156,genus,0.87,0.84,0.65,0.13,0.31,0.92,0.78,False
bin.109,k__Bacteria (UID203), 5449,104,58, 19,68,17, 0, 0, 0, 96.65,6.90,82.35,3334,3246,70,family,0.96,0.94,0.29,0.04,0.09,0.97,0.91,True
bin.11,k__Bacteria (UID2565), 2921,152,93, 13, 138,1,0, 0, 0, 88.17,0.06,100.00,1638,1559,205,kingdom,1.0,0.95,0.0,0.0,0.0,0.96,0.91,True
bin.111,root (UID1),5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,215,200,41,genus,0.89,0.83,0.66,0.52,2.29,0.89,0.74,False
bin.119,k__Bacteria (UID203), 5449,103,57,101,2, 0,0, 0, 0,1.75,0.00, 0.00,283,266,35,genus,0.88,0.83,0.4,0.79,6.53,0.92,0.76,True
bin.12, root (UID1),5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,508,501,185,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.94,True
bin.126,root (UID1),5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,318,309,10,genus,0.95,0.93,0.71,0.54,1.83,0.98,0.91,False
bin.129, o__Clostridiales (UID1212),172, 263, 149, 13, 250,0,0, 0, 0, 93.29,0.00, 0.00,1972,1850,24,genus,0.72,0.68,0.06,0.44,1.98,0.66,0.44,True
bin.13,p__Bacteroidetes (UID2605),350, 314, 208,195, 118,1,0, 0, 0, 36.35,0.48,100.00,876,858,245,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True
