sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_27.fa	OTU_97.44483.0	1.0	1.0	2974368	2974368	2974368	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_5.fa	OTU_97.3188.0	1.0	1.0	3165036	3165036	3165036	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_41.fa	OTU_97.1749.0	1.0	1.0	1787909	1787909	1787909	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_4.fa	OTU_97.2472.0	0.9969053960534185	1.0	5278543	5262208	5262208	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_39.fa	OTU_97.68.0	1.0	1.0	3592057	3592057	3592057	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_38.fa	OTU_97.9303.0	1.0	1.0	3085672	3085672	3085672	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_35.fa	OTU_97.427.0	1.0	1.0	2745261	2745261	2745261	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_34.fa	OTU_97.18007.0	0.9900446160042027	1.0	4437197	4393023	4393023	0.14285714285714285	1.0	7	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_31.fa	OTU_97.326.0	0.5571246963309313	1.0	8306740	4627890	4627890	0.2857142857142857	1.0	7	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_30.fa	OTU_97.463.0	1.0	1.0	1967085	1967085	1967085	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_6.fa	OTU_97.3402.0	1.0	1.0	3601378	3601378	3601378	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_7.fa	OTU_97.216.0	1.0	1.0	5497620	5497620	5497620	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_1.fa	OTU_97.16928.1	0.7577200795922625	1.0	4136583	3134372	3134372	0.002911208151382824	1.0	687	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_26.fa	OTU_97.17284.0	0.9181799657558897	1.0	6738093	6186782	6186782	0.2	1.0	20	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_25.fa	OTU_97.38031.0	1.0	1.0	3829061	3829061	3829061	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_24.fa	OTU_97.5710.0	1.0	1.0	4145364	4145364	4145364	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_23.fa	OTU_97.40665.0	1.0	1.0	6293312	6293312	6293312	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_2.fa	OTU_97.1414.0	0.994644730449305	1.0	2663358	2649095	2649095	0.2	1.0	5	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_19.fa	OTU_97.8962.0	0.999667834098542	1.0	3504273	3503109	3503109	0.875	1.0	8	7	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_8.fa	OTU_97.326.1	1.0	1.0	5107788	5107788	5107788	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_17.fa	OTU_97.23862.0	0.9991334473931245	1.0	4682924	4678866	4678866	0.6666666666666666	1.0	3	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_16.fa	OTU_97.1070.0	1.0	1.0	4200515	4200515	4200515	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_14.fa	OTU_97.30764.0	0.9992750916595741	1.0	2939682	2937551	2937551	0.5	1.0	4	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_12.fa	OTU_97.2576.0	1.0	1.0	4351859	4351859	4351859	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_10.fa	OTU_97.512.0	1.0	1.0	3611767	3611767	3611767	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_46.fa	OTU_97.577.0	1.0	1.0	5749394	5749394	5749394	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_15.fa	OTU_97.6109.0	1.0	0.9992128351706332	5151152	5151152	5155210	1.0	0.9	9	9	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_11.fa	OTU_97.13211.0	1.0	0.9958150184346709	3886908	3886908	3903243	1.0	0.5	1	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_9.fa	OTU_97.18007.1	1.0	0.9945450278319843	5962378	5962378	5995081	1.0	0.9576271186440678	113	113	118
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_3.fa	OTU_97.463.1	1.0	0.9447157371170789	1960134	1960134	2074840	1.0	0.7466467958271237	501	501	671
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_18.fa	OTU_97.31703.1	1.0	0.8672612966678411	3529835	3529835	4070094	1.0	0.6111111111111112	11	11	18
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_0.fa	OTU_97.16928.0	1.0	0.5610958978353769	2443227	2443227	4354384	1.0	0.2786979969183359	1447	1447	5192
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/bowtie2/S12/new_norm/output1/output_recluster_bins/SemiBin_29.fa	OTU_97.365.0	0.9949937079688492	0.19797166438509184	914649	910070	4596971	0.4	0.25	5	2	8
