,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID2329),174,149,89,2,137,10,0,0,0,97.75,8.91,80.0,2079,2023,261,genus,0.95,0.92,0.33,0.05,0.1,0.78,0.72,True
SemiBin_1,p__Actinobacteria (UID2112),31,211,124,17,190,4,0,0,0,90.0,2.28,100.0,1706,1650,246,order,0.96,0.93,0.29,0.02,0.05,0.93,0.87,True
SemiBin_10,o__Clostridiales (UID1120),304,249,142,53,184,12,0,0,0,95.07,5.28,91.67,2947,2852,236,genus,0.93,0.9,0.48,0.06,0.12,0.95,0.85,False
SemiBin_101,o__Clostridiales (UID1212),172,261,147,4,257,0,0,0,0,99.32,0.0,0.0,2334,2199,98,genus,0.8,0.75,0.29,0.07,0.15,0.78,0.58,True
SemiBin_104,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,247,216,33,class,0.96,0.84,0.36,0.03,0.06,0.81,0.68,True
SemiBin_105,o__Bacteroidales (UID2657),160,492,269,22,469,1,0,0,0,95.02,0.12,100.0,2351,2229,119,genus,0.94,0.89,0.25,0.04,0.08,0.81,0.72,True
SemiBin_12,o__Clostridiales (UID1226),155,274,157,45,214,15,0,0,0,82.51,4.54,53.33,2172,2141,261,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.95,True
SemiBin_120,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,398,352,48,genus,0.86,0.76,0.31,0.28,0.78,0.75,0.57,True
SemiBin_122,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,231,182,37,genus,0.71,0.56,0.24,0.32,1.01,0.64,0.36,True
SemiBin_123,k__Bacteria (UID203),5449,104,58,102,2,0,0,0,0,0.31,0.0,0.0,408,125,18,kingdom,1.0,0.31,0.0,0.03,0.07,0.45,0.14,True
SemiBin_124,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,6.82,0.0,0.0,376,363,114,family,0.98,0.94,0.14,0.02,0.05,0.77,0.73,True
SemiBin_13,o__Lactobacillales (UID544),293,475,267,15,460,0,0,0,0,96.75,0.0,0.0,1879,1828,147,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.92,True
SemiBin_132,k__Bacteria (UID203),5449,104,58,100,4,0,0,0,0,5.17,0.0,0.0,436,393,97,genus,0.79,0.72,0.66,0.04,0.09,0.87,0.62,False
SemiBin_134,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,203,162,50,family,0.8,0.64,0.73,0.39,1.37,0.61,0.39,False
SemiBin_135,k__Bacteria (UID2372),131,177,106,0,177,0,0,0,0,100.0,0.0,0.0,1949,1828,62,family,0.93,0.88,0.15,0.09,0.2,0.73,0.64,True
SemiBin_139,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,343,304,62,genus,0.59,0.52,0.29,0.39,1.48,0.78,0.4,True
SemiBin_14,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,18.1,0.0,0.0,1140,1084,208,family,0.93,0.89,0.23,0.05,0.11,0.74,0.65,True
SemiBin_141,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,211,93,19,phylum,0.92,0.41,0.27,0.26,0.74,0.62,0.25,True
SemiBin_142,f__Lachnospiraceae (UID1256),33,333,171,8,314,11,0,0,0,98.25,3.06,72.73,2523,2442,106,genus,0.86,0.84,0.19,0.07,0.16,0.87,0.73,True
SemiBin_151,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,219,206,28,genus,0.85,0.8,0.28,0.4,1.46,0.74,0.59,True
SemiBin_154,k__Bacteria (UID203),5449,103,57,101,2,0,0,0,0,1.75,0.0,0.0,283,268,34,class,0.94,0.89,0.33,0.05,0.11,0.67,0.59,True
SemiBin_155,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,252,105,13,kingdom,0.99,0.41,0.0,0.0,0.0,0.43,0.18,True
SemiBin_16,o__Clostridiales (UID1212),172,263,149,8,253,2,0,0,0,95.08,0.3,50.0,1888,1700,70,class,0.94,0.85,0.13,0.02,0.05,0.6,0.51,True
SemiBin_160,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,458,260,38,phylum,0.95,0.54,0.63,0.47,1.39,0.54,0.29,False
SemiBin_162,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,203,190,25,genus,0.74,0.69,0.1,0.28,0.82,0.82,0.57,True
SemiBin_164,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,291,211,47,family,0.88,0.64,0.4,0.18,0.47,0.58,0.37,True
SemiBin_166,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,289,223,43,phylum,0.96,0.74,0.38,0.34,0.91,0.61,0.45,True
SemiBin_17,k__Bacteria (UID203),5449,103,57,80,23,0,0,0,0,27.5,0.0,0.0,763,738,151,class,0.97,0.94,0.21,0.17,0.41,0.67,0.63,True
SemiBin_177,o__Lactobacillales (UID374),471,350,191,2,348,0,0,0,0,99.3,0.0,0.0,1906,1827,38,kingdom,1.0,0.96,0.0,0.0,0.0,0.9,0.86,True
SemiBin_18,p__Actinobacteria (UID2112),31,211,124,55,156,0,0,0,0,64.47,0.0,0.0,1201,1135,232,family,0.92,0.87,0.17,0.21,0.53,0.68,0.59,True
SemiBin_182,k__Bacteria (UID203),5449,104,58,103,1,0,0,0,0,0.16,0.0,0.0,169,26,4,kingdom,1.0,0.15,0.0,0.04,0.08,0.33,0.05,True
SemiBin_184,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,318,151,23,family,0.85,0.4,0.3,0.33,1.1,0.5,0.2,True
SemiBin_189,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,372,286,49,genus,0.73,0.56,0.34,0.24,0.68,0.6,0.34,True
SemiBin_19,o__Clostridiales (UID1226),155,274,157,20,243,10,1,0,0,96.84,3.36,84.62,2789,2711,229,genus,0.81,0.78,0.26,0.25,0.72,0.77,0.61,True
SemiBin_192,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,304,122,19,kingdom,1.0,0.4,0.0,0.0,0.0,0.46,0.18,True
SemiBin_197,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,263,90,11,kingdom,1.0,0.34,0.0,0.08,0.17,0.45,0.15,True
SemiBin_20,k__Bacteria (UID203),5449,104,58,96,8,0,0,0,0,2.82,0.0,0.0,258,117,38,kingdom,0.98,0.45,0.0,0.0,0.0,0.43,0.19,True
