sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_44.fa	OTU_97.2568.0	1.0	1.0	6580094	6580094	6580094	1.0	1.0	7	7	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_75.fa	OTU_97.3272.0	1.0	1.0	6823519	6823519	6823519	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_34.fa	OTU_97.3066.0	1.0	1.0	7121395	7121395	7121395	1.0	1.0	25	25	25
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_56.fa	OTU_97.439.0	0.9968025892663285	1.0	6867119	6845162	6845162	0.7142857142857143	1.0	7	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_86.fa	OTU_97.272.0	1.0	1.0	5513882	5513882	5513882	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_13.fa	OTU_97.36060.0	0.6291775710570322	1.0	6634178	4174076	4174076	0.0056022408963585435	1.0	357	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_60.fa	OTU_97.14853.0	1.0	1.0	7679756	7679756	7679756	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_76.fa	OTU_97.162.0	1.0	1.0	6645476	6645476	6645476	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_17.fa	OTU_97.40357.1	0.951519273225273	0.9816862320149299	3427527	3261358	3322200	0.16666666666666666	0.3333333333333333	6	1	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_29.fa	OTU_97.36989.0	0.9986259258043695	0.9758844351599526	1828140	1825628	1870742	0.9807692307692307	0.8947368421052632	52	51	57
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_0.fa	OTU_97.36395.0	0.8555478348509995	0.9627037502729584	7667694	6560079	6814224	0.08695652173913043	0.8666666666666667	299	26	30
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_27.fa	OTU_97.37012.0	1.0	0.9364058601766694	2132640	2132640	2277474	1.0	0.7419354838709677	69	69	93
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_4.fa	OTU_97.3437.0	0.8967731323335707	0.9241479993405385	3106604	2785919	3014581	0.4742857142857143	0.8137254901960784	175	83	102
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_20.fa	OTU_97.766.1	0.9615957413271501	0.9028436411977765	3679644	3538330	3919095	0.8838174273858921	0.71	241	213	300
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_18.fa	OTU_97.27789.0	1.0	0.8999227706470219	2966752	2966752	3296674	1.0	0.7731958762886598	75	75	97
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_15.fa	OTU_97.39400.0	1.0	0.8980612136063284	2669143	2669143	2972117	1.0	0.5903614457831325	343	343	581
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/seed/S21/new_norm/output4/output_recluster_bins/SemiBin_2.fa	OTU_97.4365.0	0.9986606351634417	0.8821373622313229	2522091	2518713	2855239	0.9969512195121951	0.6066790352504638	328	327	539
