,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,f__Porphyromonadaceae (UID2622),35,475,318,109,366,0,0,0,0,83.0,0.0,0.0,1243,1198,218,kingdom,1.0,0.96,0.0,0.0,0.0,0.92,0.89,True
SemiBin_1,k__Bacteria (UID203),5449,103,57,86,17,0,0,0,0,24.56,0.0,0.0,1052,1011,251,kingdom,1.0,0.96,0.0,0.0,0.0,0.85,0.82,True
SemiBin_10,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,331,306,54,class,0.95,0.88,1.0,0.25,0.66,0.82,0.72,False
SemiBin_105,c__Clostridia (UID1118),387,223,124,3,219,1,0,0,0,97.58,0.27,0.0,2373,2126,95,family,0.78,0.7,0.05,0.65,2.65,0.58,0.4,True
SemiBin_112,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,612,574,104,order,0.87,0.81,0.9,0.18,0.44,0.82,0.67,False
SemiBin_113,o__Clostridiales (UID1212),172,263,149,11,248,4,0,0,0,95.3,2.03,0.0,2293,2181,226,genus,0.9,0.86,0.67,0.03,0.06,0.95,0.81,False
SemiBin_114,o__Clostridiales (UID1212),172,261,147,49,191,21,0,0,0,94.39,8.84,52.38,2333,2280,152,class,0.99,0.97,0.92,0.03,0.07,0.94,0.91,False
SemiBin_116,k__Bacteria (UID203),5449,103,58,91,12,0,0,0,0,18.97,0.0,0.0,525,496,142,class,0.97,0.92,0.3,0.44,0.97,0.64,0.59,True
SemiBin_117,k__Bacteria (UID203),5449,104,58,67,36,1,0,0,0,50.67,1.72,0.0,1262,1201,233,family,0.95,0.9,0.2,0.59,2.18,0.7,0.63,True
SemiBin_118,p__Bacteroidetes (UID2605),350,314,208,55,255,4,0,0,0,91.98,1.68,75.0,2172,2143,184,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
SemiBin_119,f__Porphyromonadaceae (UID2622),35,475,318,2,453,20,0,0,0,99.61,4.45,90.0,1770,1674,100,kingdom,1.0,0.95,0.0,0.0,0.0,0.92,0.87,True
SemiBin_12,o__Clostridiales (UID1212),172,263,149,4,259,0,0,0,0,97.32,0.0,0.0,1769,1721,81,family,0.94,0.92,0.02,0.02,0.05,0.96,0.88,True
SemiBin_120,p__Bacteroidetes (UID2605),350,314,208,2,307,5,0,0,0,99.28,1.84,60.0,2512,2445,75,genus,0.94,0.91,0.12,0.04,0.07,0.84,0.77,True
SemiBin_122,o__Clostridiales (UID1212),172,263,149,51,205,7,0,0,0,92.47,3.69,14.29,2461,2288,156,class,0.93,0.86,0.09,0.13,0.3,0.62,0.53,True
SemiBin_126,o__Clostridiales (UID1212),172,263,149,33,226,4,0,0,0,88.02,2.01,50.0,2303,2094,171,family,0.89,0.81,0.14,0.59,2.58,0.71,0.57,True
SemiBin_13,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,471,306,88,phylum,0.96,0.63,0.8,0.39,1.18,0.64,0.4,False
SemiBin_130,o__Selenomonadales (UID1024),64,334,167,150,182,2,0,0,0,56.27,0.3,0.0,1151,1132,217,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
SemiBin_132,p__Bacteroidetes (UID2605),350,314,208,3,309,2,0,0,0,99.49,0.51,0.0,2158,2115,93,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
SemiBin_134,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,304,270,38,phylum,0.99,0.88,0.9,0.04,0.09,0.7,0.61,False
SemiBin_135,c__Clostridia (UID1118),387,223,124,131,92,0,0,0,0,31.69,0.0,0.0,889,810,195,family,0.87,0.79,0.29,0.33,1.03,0.64,0.5,True
SemiBin_136,p__Bacteroidetes (UID2605),350,314,208,14,283,17,0,0,0,94.71,3.04,11.76,2109,2032,64,genus,0.93,0.89,0.62,0.05,0.1,0.97,0.86,False
SemiBin_137,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,302,279,50,genus,0.71,0.66,0.51,0.79,6.98,0.77,0.5,False
SemiBin_14,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,537,395,58,phylum,0.97,0.71,0.8,0.47,1.11,0.74,0.53,False
SemiBin_141,o__Clostridiales (UID1212),172,261,147,47,195,19,0,0,0,94.15,9.01,47.37,2040,1966,115,family,0.96,0.92,0.23,0.03,0.06,0.85,0.79,True
SemiBin_146,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,267,229,30,class,0.97,0.83,0.75,0.04,0.08,0.73,0.6,False
SemiBin_147,k__Bacteria (UID203),5449,98,58,96,2,0,0,0,0,2.07,0.0,0.0,238,230,38,phylum,1.0,0.96,1.0,0.26,0.62,0.9,0.87,False
SemiBin_15,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,271,204,30,phylum,0.96,0.72,0.5,0.07,0.14,0.63,0.46,False
SemiBin_151,f__Bifidobacteriaceae (UID1458),77,464,220,0,449,15,0,0,0,100.0,4.17,40.0,1901,1830,32,kingdom,1.0,0.96,0.0,0.0,0.0,0.93,0.9,True
