sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_99.fa	OTU_97.23667.1	0.9965537451646934	1.0	2175405	2167908	2167908	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_85.fa	OTU_97.143.0	1.0	1.0	3294995	3294995	3294995	1.0	1.0	30	30	30
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_50.fa	OTU_97.35197.0	0.9882179700573219	1.0	1797568	1776389	1776389	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_48.fa	OTU_97.44228.0	0.7879292198348073	1.0	2806662	2211451	2211451	0.00625	1.0	160	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_44.fa	OTU_97.45053.0	0.7543278649252237	1.0	2537972	1914463	1914463	0.0058823529411764705	1.0	170	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_4.fa	OTU_97.40548.0	0.38292974762081383	1.0	5680619	2175278	2175278	0.007575757575757576	1.0	132	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_33.fa	OTU_97.57.0	0.9403519874544642	1.0	3014937	2835102	2835102	0.01639344262295082	1.0	61	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_29.fa	OTU_97.37887.0	0.4922222234915514	1.0	4376765	2154341	2154341	0.017857142857142856	1.0	56	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_236.fa	OTU_97.9672.0	1.0	1.0	1986122	1986122	1986122	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_226.fa	OTU_97.39115.0	1.0	1.0	2143825	2143825	2143825	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_222.fa	OTU_97.41189.0	1.0	1.0	2324977	2324977	2324977	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_182.fa	OTU_97.20.0	1.0	1.0	2300990	2300990	2300990	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_78.fa	OTU_97.20271.0	0.9805569911910291	1.0	2010337	1971250	1971250	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_178.fa	OTU_97.44484.0	0.9957956403868823	1.0	1773873	1766415	1766415	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_177.fa	OTU_97.14837.0	0.9931674948324436	1.0	1818074	1805652	1805652	0.4	1.0	5	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_245.fa	OTU_97.43676.0	1.0	1.0	2571335	2571335	2571335	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_10.fa	OTU_97.42422.0	0.9881857055081131	1.0	2162973	2137419	2137419	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_11.fa	OTU_97.45365.0	0.982708935068173	1.0	2133761	2096866	2096866	0.14285714285714285	1.0	7	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi_hash/seed/S14/new_norm/output4/output_recluster_bins/SemiBin_139.fa	OTU_97.41395.1	0.9978516486208417	1.0	1632880	1629372	1629372	0.75	1.0	4	3	3
