sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_37.fa	OTU_97.17807.0	0.9899593298696036	1.0	2427826	2403449	2403449	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_54.fa	OTU_97.36161.1	0.991261714018419	1.0	3463265	3433002	3433002	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_64.fa	OTU_97.34011.0	0.5595706022670554	1.0	4644086	2598694	2598694	0.009615384615384616	1.0	208	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_177.fa	OTU_97.21926.0	0.9983474431496012	1.0	2742417	2737885	2737885	0.75	1.0	4	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_163.fa	OTU_97.36185.0	1.0	1.0	2474135	2474135	2474135	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_58.fa	OTU_97.11114.0	1.0	1.0	2363162	2363162	2363162	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_147.fa	OTU_97.30815.1	1.0	1.0	2819198	2819198	2819198	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_38.fa	OTU_97.32419.1	0.9903481016634791	1.0	2387406	2364363	2364363	0.14285714285714285	1.0	7	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_55.fa	OTU_97.34913.0	0.7428369642363916	1.0	3146187	2337104	2337104	0.014285714285714285	1.0	70	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_29.fa	OTU_97.32155.0	0.8369767295436478	1.0	2890618	2419380	2419380	0.02857142857142857	1.0	70	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_117.fa	OTU_97.34382.0	0.9587545753255385	1.0	2670575	2560426	2560426	0.6	1.0	15	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_116.fa	OTU_97.37290.0	0.9853001795656544	1.0	2833504	2791852	2791852	0.42857142857142855	1.0	14	6	6
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_95.fa	OTU_97.37297.0	0.9471553281688099	1.0	2828270	2678811	2678811	0.2222222222222222	1.0	18	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_109.fa	OTU_97.34663.1	1.0	1.0	2658250	2658250	2658250	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_40.fa	OTU_97.36502.0	0.9674266873750261	1.0	2006919	1941547	1941547	0.14285714285714285	1.0	7	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_60.fa	OTU_97.36230.0	0.9769192992557344	1.0	2362060	2307542	2307542	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_16.fa	OTU_97.89.0	0.9628780447790336	0.9986692933294509	3462156	3333634	3338076	0.09090909090909091	0.5	11	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_65.fa	OTU_97.22985.0	0.9945708837349165	0.9953350849547342	2434282	2421066	2432413	0.9950738916256158	0.8938053097345132	203	202	226
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_20.fa	OTU_97.44585.0	0.43680443146512804	0.9913184258144677	6444099	2814811	2839462	0.0029411764705882353	0.5	340	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_4.fa	OTU_97.35712.0	0.7800289972705129	0.9908372813772125	3718281	2900367	2927188	0.013888888888888888	0.5	72	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_78.fa	OTU_97.34817.0	0.9988398842416555	0.9902636961394496	2527334	2524402	2549222	0.9951923076923077	0.8922413793103449	208	207	232
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_10.fa	OTU_97.2571.0	0.9893136034099572	0.9872811529171677	7232466	7155177	7247355	0.9761092150170648	0.9022082018927445	586	572	634
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_35.fa	OTU_97.36159.0	0.996269143425071	0.9866855453165253	5420203	5399981	5472849	0.9866071428571429	0.9020408163265307	448	442	490
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_61.fa	OTU_97.989.0	1.0	0.9841968043635754	3852725	3852725	3914588	1.0	0.8879551820728291	317	317	357
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_42.fa	OTU_97.80.0	0.8004612326437103	0.9824051613261326	2830242	2265499	2306074	0.008849557522123894	0.5	113	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_232.fa	OTU_97.1263.0	1.0	0.9813406696535105	2808702	2808702	2862107	1.0	0.5	1	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_5.fa	OTU_97.37297.1	0.5272930688772797	0.9808165046982332	5424619	2860364	2916309	0.005076142131979695	0.5	197	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/bowtie2/S11/new_norm/output3/output_recluster_bins/SemiBin_68.fa	OTU_97.35048.0	0.9945954983052466	0.9784934824877962	2512165	2498588	2553505	0.9951219512195122	0.8986784140969163	205	204	227
