sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_94.fa	OTU_97.40729.0	1.0	1.0	1972735	1972735	1972735	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_20.fa	OTU_97.38087.0	0.9850209525711163	1.0	1923153	1894346	1894346	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_44.fa	OTU_97.43913.0	0.9991525794713458	1.0	1850321	1848753	1848753	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_42.fa	OTU_97.40488.0	0.9442697756500373	1.0	2109071	1991532	1991532	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_52.fa	OTU_97.31173.1	0.7621806158106921	1.0	2606970	1986982	1986982	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_61.fa	OTU_97.43290.1	1.0	1.0	2131328	2131328	2131328	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_62.fa	OTU_97.39229.0	0.9989972587426099	1.0	2318644	2316319	2316319	0.75	1.0	4	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_32.fa	OTU_97.38340.1	1.0	1.0	1871079	1871079	1871079	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_46.fa	OTU_97.43290.0	0.9596213147814211	1.0	3373884	3237651	3237651	0.07692307692307693	1.0	13	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_71.fa	OTU_97.43733.0	1.0	1.0	3360992	3360992	3360992	1.0	1.0	11	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_72.fa	OTU_97.40724.0	1.0	1.0	2587863	2587863	2587863	1.0	1.0	10	10	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_75.fa	OTU_97.36767.0	1.0	1.0	1977076	1977076	1977076	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_45.fa	OTU_97.43292.0	1.0	1.0	2534169	2534169	2534169	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/strobealign/24/new_norm/output0/output_recluster_bins/SemiBin_17.fa	OTU_97.36793.0	0.9815267306981524	1.0	2962605	2907876	2907876	0.5	1.0	2	1	1
