sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_0.fa	OTU_97.37643.0	0.8475515265271193	1.0	5150842	4365604	4365604	0.014814814814814815	1.0	135	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_24.fa	OTU_97.26691.1	0.7773393711830616	1.0	5328387	4141965	4141965	0.003875968992248062	1.0	258	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_97.fa	OTU_97.44483.0	1.0	1.0	2974356	2974356	2974356	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_91.fa	OTU_97.893.0	0.9893918451200484	1.0	1797108	1778044	1778044	0.14285714285714285	1.0	7	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_87.fa	OTU_97.680.0	0.9985962310441344	1.0	4212944	4207030	4207030	0.6666666666666666	1.0	3	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_78.fa	OTU_97.20224.0	0.9970940801951474	1.0	4320835	4308279	4308279	0.7142857142857143	1.0	14	10	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_67.fa	OTU_97.44481.0	0.9959933168256196	1.0	2980021	2968081	2968081	0.8461538461538461	1.0	13	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_64.fa	OTU_97.38031.0	0.986278668315809	1.0	3882422	3829150	3829150	0.14285714285714285	1.0	14	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_62.fa	OTU_97.680.1	0.9910341363580897	1.0	3949982	3914567	3914567	0.5	1.0	6	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_50.fa	OTU_97.26691.0	0.9929357017553074	1.0	2855910	2835735	2835735	0.2	1.0	5	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_47.fa	OTU_97.512.0	0.9745994697823139	1.0	3706025	3611890	3611890	0.045454545454545456	1.0	22	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_42.fa	OTU_97.1047.0	0.9986998777575408	1.0	3616583	3611881	3611881	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_40.fa	OTU_97.9303.0	1.0	1.0	3085706	3085706	3085706	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_4.fa	OTU_97.27397.0	0.6881465250742025	1.0	5482966	3773084	3773084	0.00477326968973747	1.0	419	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_32.fa	OTU_97.8962.0	0.9951295145735322	1.0	3520183	3503038	3503038	0.7647058823529411	1.0	17	13	13
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/fairy/11/output2/output_recluster_bins/SemiBin_41.fa	OTU_97.577.0	1.0	1.0	5749404	5749404	5749404	1.0	1.0	1	1	1
