sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_9.fa	OTU_97.34494.0	0.32986816025915583	1.0	8727414	2878896	2878896	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_18.fa	OTU_97.29637.1	1.0	1.0	2435598	2435598	2435598	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_40.fa	OTU_97.39526.0	0.9980403249147681	1.0	5320780	5310353	5310353	0.25	1.0	4	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_4.fa	OTU_97.24656.0	0.984838850247527	1.0	2138756	2106330	2106330	0.2	1.0	5	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_39.fa	OTU_97.44237.0	1.0	1.0	2616366	2616366	2616366	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_38.fa	OTU_97.270.0	1.0	1.0	2501077	2501077	2501077	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_6.fa	OTU_97.18938.0	0.9695025574531201	1.0	2218809	2151141	2151141	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_25.fa	OTU_97.35712.0	0.7179052894076468	1.0	4077432	2927210	2927210	0.1	1.0	20	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_5.fa	OTU_97.45365.1	0.9308804193513159	1.0	2289250	2131018	2131018	0.23076923076923078	1.0	13	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_41.fa	OTU_97.6382.0	1.0	1.0	5637352	5637352	5637352	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_17.fa	OTU_97.544.0	0.9995289891012936	1.0	2963838	2962442	2962442	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_13.fa	OTU_97.10273.0	1.0	1.0	2528055	2528055	2528055	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_8.fa	OTU_97.32002.1	0.7565666063015848	0.9926352157875259	3020510	2285217	2302172	0.0196078431372549	0.3333333333333333	51	1	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_24.fa	OTU_97.44585.0	0.9776905189047063	0.9913187871658922	2879045	2814815	2839465	0.3333333333333333	0.5	3	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_12.fa	OTU_97.35249.0	0.9726100979144569	0.9873730738914733	3021515	2938756	2976338	0.25	0.5	4	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_62.fa	OTU_97.37297.1	0.7063877434194572	0.9808060920152711	4049286	2860366	2916342	0.05	0.5	20	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_15.fa	OTU_97.34382.0	0.993117165338832	0.9773165374798096	2519892	2502548	2560632	0.6666666666666666	0.2222222222222222	3	2	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_10.fa	OTU_97.35048.0	0.9519046960678901	0.9745413524628678	2625537	2499261	2564551	0.25	0.14285714285714285	4	1	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_1.fa	OTU_97.29637.0	0.7313985378044152	0.4491826456357378	1675836	1225704	2728743	0.9877300613496932	0.42592592592592593	163	161	378
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_11.fa	OTU_97.35249.1	0.9600595276139795	0.4391203402107658	1267311	1216694	2770753	0.8666666666666667	0.3939393939393939	15	13	33
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_7.fa	OTU_97.45365.0	0.9328948652671476	0.4375011920064998	983576	917573	2097304	0.8869047619047619	0.49337748344370863	168	149	302
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_16.fa	OTU_97.35249.1	0.9333184106329214	0.3385913504379495	1005180	938153	2770753	0.4583333333333333	0.3333333333333333	24	11	33
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_0.fa	OTU_97.32002.0	0.7809104694442383	0.22628781081380056	471515	368211	1627180	0.8790697674418605	0.10546875	215	189	1792
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_37.fa	OTU_97.29637.0	1.0	0.2199419293059112	600165	600165	2728743	1.0	0.15608465608465608	59	59	378
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_3.fa	OTU_97.32002.0	0.9957863277337143	0.18633586941825736	304485	303202	1627180	0.9939024390243902	0.09095982142857142	164	163	1792
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_26.fa	OTU_97.29637.0	1.0	0.17514987670147023	477939	477939	2728743	1.0	0.1746031746031746	66	66	378
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_14.fa	OTU_97.37297.0	0.654383443742138	0.0627243515084186	256773	168028	2678832	0.25	0.25	4	1	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/fairy/28/output0/output_recluster_bins/SemiBin_21.fa	OTU_97.35048.0	0.2677925380250353	0.022339583030323826	213938	57291	2564551	0.2631578947368421	0.7142857142857143	19	5	7
