,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID3187),2258,188,117,159,29,0,0,0,0,12.24,0.0,0.0,716,660,218,phylum,0.86,0.79,0.24,0.19,0.47,0.61,0.48,True
SemiBin_1,k__Bacteria (UID3187),2258,188,117,124,61,3,0,0,0,30.54,2.56,66.67,1658,1390,375,class,0.79,0.66,0.3,0.29,0.79,0.61,0.4,True
SemiBin_10,k__Archaea (UID2),207,149,107,40,96,12,1,0,0,74.3,10.75,73.33,1995,1756,290,kingdom,1.0,0.88,0.14,0.03,0.06,0.81,0.71,True
SemiBin_100,k__Bacteria (UID203),5449,103,57,97,6,0,0,0,0,10.53,0.0,0.0,403,352,103,class,0.79,0.69,0.3,0.49,1.93,0.6,0.41,True
SemiBin_101,c__Gammaproteobacteria (UID4202),67,481,276,177,301,3,0,0,0,62.01,1.09,66.67,1872,1828,343,family,0.85,0.83,0.42,0.04,0.09,0.81,0.67,True
SemiBin_102,k__Bacteria (UID2982),88,230,148,198,31,1,0,0,0,12.43,0.03,100.0,512,460,131,genus,0.74,0.67,0.39,0.09,0.2,0.72,0.48,True
SemiBin_103,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,762,608,132,kingdom,1.0,0.8,0.61,0.03,0.06,0.63,0.5,False
SemiBin_104,k__Bacteria (UID203),5449,104,58,83,19,2,0,0,0,24.14,0.69,0.0,1263,1202,307,family,0.8,0.76,0.46,0.07,0.15,0.74,0.57,False
SemiBin_105,k__Bacteria (UID2495),2993,147,91,79,67,1,0,0,0,58.23,1.1,0.0,2897,2713,461,phylum,0.87,0.82,0.23,0.17,0.43,0.66,0.54,True
SemiBin_106,k__Bacteria (UID203),5449,103,57,78,25,0,0,0,0,25.33,0.0,0.0,1349,1144,335,family,0.48,0.41,0.22,0.44,1.55,0.57,0.23,True
SemiBin_107,k__Bacteria (UID1452),924,161,108,135,26,0,0,0,0,13.73,0.0,0.0,459,427,113,class,0.86,0.8,0.31,0.08,0.16,0.76,0.6,True
SemiBin_109,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,18.1,0.0,0.0,924,815,232,class,0.8,0.71,0.29,0.12,0.27,0.8,0.56,True
SemiBin_11,k__Bacteria (UID2982),88,230,148,186,44,0,0,0,0,15.85,0.0,0.0,701,616,218,family,0.71,0.62,0.52,0.27,0.81,0.64,0.4,False
SemiBin_110,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,250,221,62,family,0.52,0.46,0.44,0.53,2.65,0.65,0.3,True
