sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_0.fa	OTU_97.36060.0	1.0	1.0	4173277	4173277	4173277	1.0	1.0	26	26	26
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_23.fa	OTU_97.36395.0	0.8520942475476659	1.0	7997789	6814870	6814870	0.1	1.0	10	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_45.fa	OTU_97.14853.0	1.0	1.0	7679712	7679712	7679712	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_40.fa	OTU_97.3272.0	1.0	1.0	6823524	6823524	6823524	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_38.fa	OTU_97.39620.0	1.0	1.0	1978305	1978305	1978305	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_50.fa	OTU_97.36691.0	1.0	1.0	1610287	1610287	1610287	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_52.fa	OTU_97.3066.0	1.0	1.0	7122166	7122166	7122166	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_53.fa	OTU_97.24737.0	1.0	1.0	5418659	5418659	5418659	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_24.fa	OTU_97.30084.0	0.9435135881944393	1.0	6695150	6316965	6316965	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_48.fa	OTU_97.1829.0	1.0	1.0	3032076	3032076	3032076	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_2.fa	OTU_97.24737.1	1.0	1.0	5611114	5611114	5611114	1.0	1.0	4	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_55.fa	OTU_97.272.0	1.0	1.0	5513886	5513886	5513886	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_61.fa	OTU_97.162.0	1.0	1.0	6645474	6645474	6645474	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_11.fa	OTU_97.26886.0	0.9893746522018343	0.999857511915512	4666859	4617272	4617930	0.8780487804878049	0.972972972972973	41	36	37
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_3.fa	OTU_97.558.0	1.0	0.9945067965828917	6194210	6194210	6228424	1.0	0.9090909090909091	10	10	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_13.fa	OTU_97.19349.0	1.0	0.9678830574145826	2060865	2060865	2129250	1.0	0.8181818181818182	72	72	88
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_5.fa	OTU_97.36696.1	0.886633581627264	0.9294027534067747	3415844	3028602	3258654	0.5578947368421052	0.8091603053435115	190	106	131
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_6.fa	OTU_97.1036.1	0.9969689243239114	0.8590091284102309	2866969	2858279	3327414	0.9932735426008968	0.5482673267326733	446	443	808
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_25.fa	OTU_97.22877.0	1.0	0.7548276573670716	4806270	4806270	6367374	1.0	0.6764705882352942	23	23	34
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_10.fa	OTU_97.29336.0	1.0	0.7305790723837358	1755328	1755328	2402653	1.0	0.466786355475763	260	260	557
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi_hash/seed/S0/new_norm/output1/output_recluster_bins/SemiBin_4.fa	OTU_97.26970.0	0.8426945505973887	0.7074304538915426	2648694	2232040	3155137	0.7477064220183486	0.4283837056504599	436	326	761
