,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Archaea (UID2),207,149,107,133,10,6,0,0,0,3.98,0.43,0.0,430,112,56,kingdom,1.0,0.26,0.0,0.15,0.35,0.38,0.1,True
SemiBin_1,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1138,484,216,kingdom,1.0,0.43,0.06,0.03,0.07,0.41,0.17,True
SemiBin_100,k__Bacteria (UID2982),88,229,147,50,178,1,0,0,0,79.72,0.04,100.0,2563,2234,492,order,0.71,0.62,0.24,0.41,1.46,0.53,0.33,True
SemiBin_101,c__Alphaproteobacteria (UID3305),564,349,230,164,175,10,0,0,0,51.97,2.79,0.0,926,879,176,class,0.92,0.87,0.33,0.11,0.26,0.54,0.47,True
SemiBin_102,k__Bacteria (UID203),5449,104,58,69,35,0,0,0,0,43.97,0.0,0.0,595,552,101,class,0.89,0.83,0.11,0.2,0.5,0.54,0.45,True
SemiBin_104,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,600,240,82,kingdom,1.0,0.4,0.0,0.03,0.07,0.41,0.16,True
SemiBin_106,s__algicola (UID2846),47,571,303,65,492,13,1,0,0,85.8,2.66,50.0,1492,1441,129,family,0.91,0.88,0.1,0.09,0.19,0.62,0.54,True
SemiBin_108,k__Bacteria (UID203),5449,104,58,83,21,0,0,0,0,34.48,0.0,0.0,916,838,204,class,0.88,0.81,0.32,0.22,0.56,0.53,0.43,True
SemiBin_109,p__Cyanobacteria (UID2143),129,472,368,178,283,11,0,0,0,60.19,2.08,72.73,1487,1447,265,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True
SemiBin_11,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,281,240,53,family,0.5,0.43,0.39,0.19,0.5,0.53,0.23,True
SemiBin_110,k__Bacteria (UID203),5449,99,53,85,13,1,0,0,0,24.53,1.89,0.0,823,784,117,genus,0.89,0.85,0.53,0.04,0.09,0.74,0.63,False
SemiBin_112,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,571,188,47,kingdom,1.0,0.33,0.0,0.04,0.09,0.41,0.13,True
SemiBin_113,c__Gammaproteobacteria (UID4443),356,451,270,229,209,13,0,0,0,40.15,0.92,76.92,823,811,134,order,0.97,0.95,0.09,0.11,0.24,0.78,0.74,True
SemiBin_114,p__Proteobacteria (UID3887),1487,261,164,161,98,2,0,0,0,36.69,1.22,0.0,818,759,151,order,0.64,0.59,0.12,0.57,2.88,0.55,0.32,True
