sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_94.fa	OTU_97.161.0	1.0	1.0	4791953	4791953	4791953	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_49.fa	OTU_97.41428.0	0.9928020488231197	1.0	5917934	5875337	5875337	0.18181818181818182	1.0	11	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_51.fa	OTU_97.45281.1	1.0	1.0	3350618	3350618	3350618	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_23.fa	OTU_97.29883.0	0.7624722174730724	1.0	6082960	4638088	4638088	0.0058997050147492625	1.0	339	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_42.fa	OTU_97.17807.0	0.6527362216646302	1.0	3682103	2403442	2403442	0.038461538461538464	1.0	26	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_47.fa	OTU_97.25427.0	0.4077954114774961	1.0	5282877	2154333	2154333	0.013333333333333334	1.0	75	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_19.fa	OTU_97.20828.0	0.8966326398113401	1.0	2479806	2223475	2223475	0.01694915254237288	1.0	59	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_55.fa	OTU_97.25427.1	0.9133759160974699	1.0	2379523	2173399	2173399	0.015873015873015872	1.0	63	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_128.fa	OTU_97.36161.1	1.0	1.0	3432994	3432994	3432994	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_111.fa	OTU_97.14774.0	1.0	1.0	2180565	2180565	2180565	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Airways/multi_to_multi/seed/S26/new_norm/output3/output_recluster_bins/SemiBin_110.fa	OTU_97.41740.0	1.0	1.0	2758432	2758432	2758432	1.0	1.0	5	5	5
