sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_153.fa	OTU_97.42948.0	0.9470169433863881	1.0	2516144	2382831	2382831	0.03333333333333333	1.0	30	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_149.fa	OTU_97.44958.0	1.0	1.0	1769899	1769899	1769899	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_13.fa	OTU_97.3084.0	0.9251190451161311	1.0	2045233	1892084	1892084	0.10526315789473684	1.0	19	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_238.fa	OTU_97.42989.0	1.0	1.0	1829130	1829130	1829130	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_237.fa	OTU_97.30766.0	1.0	1.0	2767893	2767893	2767893	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_230.fa	OTU_97.42502.0	1.0	1.0	1996069	1996069	1996069	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_220.fa	OTU_97.34726.0	1.0	1.0	2529466	2529466	2529466	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_200.fa	OTU_97.39679.0	0.9725607807494857	1.0	1846226	1795567	1795567	0.14285714285714285	1.0	14	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_147.fa	OTU_97.45058.0	1.0	1.0	1672986	1672986	1672986	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_148.fa	OTU_97.43450.0	1.0	1.0	1738493	1738493	1738493	1.0	1.0	6	6	6
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_56.fa	OTU_97.42422.0	0.9604904019937466	1.0	2225358	2137435	2137435	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_52.fa	OTU_97.29545.0	0.675681209359759	1.0	3155124	2131858	2131858	0.012345679012345678	1.0	81	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_198.fa	OTU_97.20.0	1.0	1.0	2300987	2300987	2300987	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_58.fa	OTU_97.45365.0	0.960153121615836	1.0	2183885	2096864	2096864	0.1111111111111111	1.0	9	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_158.fa	OTU_97.39115.0	1.0	1.0	2143885	2143885	2143885	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_159.fa	OTU_97.44294.0	1.0	1.0	1924507	1924507	1924507	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_59.fa	OTU_97.16860.0	0.9356185024534318	1.0	1914665	1791396	1791396	0.041666666666666664	1.0	24	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_165.fa	OTU_97.43848.0	0.9665250584836749	1.0	1849234	1787331	1787331	0.375	1.0	8	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_60.fa	OTU_97.39112.0	0.6875412242913749	1.0	2657717	1827290	1827290	0.0070921985815602835	1.0	141	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_174.fa	OTU_97.39998.0	0.9986768786075177	1.0	2112429	2109634	2109634	0.8571428571428571	1.0	7	6	6
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_128.fa	OTU_97.17727.0	1.0	1.0	2013443	2013443	2013443	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_125.fa	OTU_97.23667.1	0.9745540954173096	1.0	2224523	2167918	2167918	0.125	1.0	8	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_177.fa	OTU_97.44129.0	1.0	1.0	2031652	2031652	2031652	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_28.fa	OTU_97.21322.0	0.7872383649347451	1.0	2599040	2046064	2046064	0.011363636363636364	1.0	88	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_10.fa	OTU_97.35311.1	0.4988339025566969	1.0	3670791	1831115	1831115	0.1	1.0	10	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_39.fa	OTU_97.44265.0	0.9103671440299188	1.0	2192600	1996071	1996071	0.1724137931034483	1.0	29	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_43.fa	OTU_97.35864.0	0.8325111889964967	1.0	2668023	2221159	2221159	0.024390243902439025	1.0	41	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_49.fa	OTU_97.34527.0	0.9354084431542087	1.0	2298288	2149838	2149838	0.045454545454545456	1.0	22	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_106.fa	OTU_97.44565.0	0.9397158188527974	1.0	1819051	1709391	1709391	0.047619047619047616	1.0	21	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_29.fa	OTU_97.44228.0	0.7503712038132879	1.0	2947168	2211470	2211470	0.010416666666666666	1.0	96	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_108.fa	OTU_97.44160.0	0.9988514581537544	1.0	2184509	2182000	2182000	0.8333333333333334	1.0	6	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_109.fa	OTU_97.18437.0	0.9898478329094055	1.0	2036117	2015446	2015446	0.7	1.0	10	7	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_87.fa	OTU_97.45053.0	0.8821054076892525	1.0	2170354	1914481	1914481	0.02631578947368421	1.0	38	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_25.fa	OTU_97.23.1	1.0	1.0	2130511	2130511	2130511	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_112.fa	OTU_97.16209.0	1.0	1.0	2177648	2177648	2177648	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_113.fa	OTU_97.6073.0	0.5918764256991357	1.0	3452692	2043567	2043567	0.14814814814814814	1.0	27	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_27.fa	OTU_97.35376.0	0.9502385082393755	1.0	2241432	2129895	2129895	0.05555555555555555	1.0	18	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_116.fa	OTU_97.1704.0	1.0	1.0	2497004	2497004	2497004	1.0	1.0	6	6	6
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_120.fa	OTU_97.22593.0	0.9745622902300114	1.0	1865734	1818274	1818274	0.09090909090909091	1.0	11	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_121.fa	OTU_97.30394.0	1.0	1.0	2142045	2142045	2142045	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_26.fa	OTU_97.45324.0	0.702546436442012	1.0	2973096	2088738	2088738	0.04032258064516129	1.0	124	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_176.fa	OTU_97.31370.0	1.0	1.0	3042814	3042814	3042814	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_84.fa	OTU_97.24.0	1.0	0.9668668526662568	2085526	2085526	2156994	1.0	0.7837837837837838	203	203	259
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_0.fa	OTU_97.5757.1	0.9789710165419219	0.9639530711771778	1973229	1931734	2003971	0.9440993788819876	0.7524752475247525	161	152	202
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_36.fa	OTU_97.44484.0	1.0	0.9602673122825385	1687665	1687665	1757495	1.0	0.7272727272727273	152	152	209
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_22.fa	OTU_97.5809.0	1.0	0.9570363499655513	3650485	3650485	3814364	1.0	0.7526205450733753	359	359	477
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_107.fa	OTU_97.44265.1	0.997434825956045	0.9565562743502181	2400227	2394070	2502801	0.75	0.6	4	3	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_72.fa	OTU_97.35197.0	1.0	0.9536418662918082	1683114	1683114	1764933	1.0	0.7248908296943232	166	166	229
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_37.fa	OTU_97.14330.0	1.0	0.9510333141648928	1734855	1734855	1824179	1.0	0.7226890756302521	172	172	238
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_98.fa	OTU_97.25556.0	0.9978091447962943	0.9499565320061306	2531888	2526341	2659428	0.9921875	0.7257142857142858	256	254	350
gsa	/public/home/pansj/abundance_estimation/CAMI2/Oral/multi_to_multi/bwa/17/new_norm/output1/output_recluster_bins/SemiBin_64.fa	OTU_97.741.0	1.0	0.9475675155381992	2067327	2067327	2181720	1.0	0.7677902621722846	205	205	267
