,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Archaea (UID2),207,149,107,30,81,36,2,0,0,80.06,29.6,73.81,2376,2193,365,kingdom,1.0,0.92,0.36,0.07,0.14,0.62,0.57,True
SemiBin_1,c__Gammaproteobacteria (UID4444),263,498,228,265,227,6,0,0,0,42.21,1.13,83.33,1166,1127,275,class,0.98,0.95,0.5,0.02,0.05,0.78,0.74,False
SemiBin_10,c__Gammaproteobacteria (UID4201),1164,275,174,117,155,3,0,0,0,54.6,1.44,0.0,843,779,147,class,0.88,0.82,0.19,0.1,0.24,0.51,0.42,True
SemiBin_100,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,18.97,0.0,0.0,579,547,137,phylum,0.97,0.91,0.23,0.03,0.05,0.56,0.51,True
SemiBin_101,k__Bacteria (UID2495),2993,147,91,49,96,2,0,0,0,62.33,2.2,50.0,1201,1033,210,family,0.55,0.48,0.69,0.09,0.21,0.54,0.26,False
SemiBin_103,s__algicola (UID2846),47,571,303,334,231,6,0,0,0,38.47,0.81,33.33,652,631,145,genus,0.48,0.47,0.08,0.83,8.55,0.64,0.3,True
SemiBin_104,k__Bacteria (UID203),5449,102,58,91,10,1,0,0,0,17.24,1.72,100.0,594,573,124,class,0.99,0.95,0.49,0.02,0.04,0.78,0.74,False
SemiBin_107,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,802,703,132,order,0.53,0.46,0.48,0.74,6.24,0.51,0.24,False
SemiBin_108,k__Bacteria (UID203),5449,104,58,85,19,0,0,0,0,16.3,0.0,0.0,451,411,111,family,0.75,0.68,0.38,0.24,0.66,0.55,0.38,True
SemiBin_11,k__Bacteria (UID2982),88,230,148,5,219,6,0,0,0,98.78,2.44,50.0,2486,2253,232,class,0.84,0.76,0.3,0.55,2.63,0.57,0.44,True
SemiBin_110,k__Bacteria (UID203),5449,102,58,87,14,1,0,0,0,17.87,1.72,100.0,622,569,142,class,0.89,0.82,0.15,0.19,0.48,0.54,0.44,True
SemiBin_111,k__Bacteria (UID203),5449,104,58,63,39,2,0,0,0,48.5,1.88,50.0,1028,981,207,class,0.93,0.89,0.16,0.05,0.12,0.61,0.54,True
SemiBin_113,k__Bacteria (UID203),5449,104,58,83,18,3,0,0,0,27.93,3.45,0.0,758,722,136,phylum,0.98,0.93,0.84,0.06,0.12,0.72,0.67,False
SemiBin_114,c__Gammaproteobacteria (UID4201),1164,275,174,144,126,5,0,0,0,44.18,1.72,20.0,844,794,149,class,0.89,0.84,0.05,0.14,0.33,0.54,0.45,True
