,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1219,347,100,kingdom,1.0,0.28,0.0,0.07,0.16,0.41,0.12,True
SemiBin_1,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1155,426,85,kingdom,1.0,0.37,0.0,0.03,0.05,0.45,0.16,True
SemiBin_10,o__Actinomycetales (UID1593),69,400,198,57,337,6,0,0,0,85.46,1.77,33.33,2331,2212,327,order,0.92,0.87,0.25,0.03,0.06,0.71,0.62,True
SemiBin_101,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1627,431,91,kingdom,0.99,0.26,0.0,0.0,0.0,0.39,0.1,True
SemiBin_104,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,306,103,35,kingdom,1.0,0.34,0.0,0.16,0.36,0.42,0.14,True
SemiBin_111,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,456,174,40,kingdom,1.0,0.38,0.0,0.02,0.05,0.41,0.16,True
SemiBin_112,c__Gammaproteobacteria (UID4443),356,448,269,2,441,5,0,0,0,99.44,0.87,40.0,3393,3277,199,genus,0.86,0.83,0.29,0.06,0.13,0.76,0.63,True
SemiBin_113,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,343,147,45,kingdom,1.0,0.43,0.0,0.03,0.06,0.45,0.19,True
SemiBin_115,c__Gammaproteobacteria (UID4443),356,451,270,70,375,5,1,0,0,86.13,1.11,25.0,2952,2874,441,kingdom,1.0,0.97,0.0,0.0,0.0,0.83,0.8,True
SemiBin_116,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,666,357,89,order,0.75,0.4,0.36,0.37,1.28,0.57,0.23,True
SemiBin_117,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,435,197,51,phylum,0.94,0.43,0.3,0.5,1.55,0.49,0.21,True
SemiBin_12,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,600,301,77,kingdom,1.0,0.5,0.43,0.07,0.16,0.49,0.25,True
SemiBin_120,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,385,130,45,kingdom,0.99,0.34,0.0,0.0,0.0,0.44,0.15,True
SemiBin_122,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,319,140,41,class,0.92,0.4,0.21,0.44,1.76,0.46,0.19,True
SemiBin_124,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,262,102,27,kingdom,1.0,0.39,0.0,0.07,0.15,0.4,0.15,True
SemiBin_125,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,399,195,56,family,0.83,0.4,0.34,0.31,0.98,0.57,0.23,True
SemiBin_126,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1341,475,147,kingdom,0.99,0.35,0.0,0.0,0.0,0.43,0.15,True
SemiBin_127,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,450,121,25,kingdom,1.0,0.27,0.0,0.08,0.18,0.39,0.11,True
SemiBin_128,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1285,480,158,kingdom,0.99,0.37,0.0,0.0,0.0,0.45,0.17,True
SemiBin_130,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,278,85,28,kingdom,1.0,0.31,0.0,0.05,0.1,0.43,0.13,True
SemiBin_132,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,279,74,36,kingdom,0.99,0.26,0.0,0.0,0.0,0.37,0.1,True
SemiBin_133,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,339,81,31,kingdom,1.0,0.24,0.0,0.0,0.0,0.4,0.1,True
SemiBin_134,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,358,153,49,kingdom,1.0,0.43,0.14,0.06,0.12,0.4,0.17,True
SemiBin_137,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,346,135,24,kingdom,1.0,0.39,0.0,0.04,0.09,0.44,0.17,True
SemiBin_139,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,573,207,65,kingdom,1.0,0.36,0.0,0.06,0.12,0.39,0.14,True
SemiBin_140,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,264,65,19,kingdom,1.0,0.25,0.0,0.03,0.06,0.42,0.1,True
SemiBin_143,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,661,357,70,kingdom,1.0,0.54,0.23,0.06,0.12,0.49,0.27,True
SemiBin_144,k__Bacteria (UID2569),434,278,186,5,270,3,0,0,0,98.87,0.86,0.0,2682,2529,173,family,0.83,0.79,0.06,0.76,5.33,0.55,0.44,True
SemiBin_146,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,837,387,97,kingdom,1.0,0.46,0.36,0.04,0.09,0.46,0.21,True
SemiBin_147,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,359,126,37,kingdom,0.99,0.35,0.0,0.0,0.0,0.43,0.15,True
SemiBin_148,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,438,155,39,kingdom,1.0,0.35,0.0,0.06,0.14,0.41,0.15,True
SemiBin_151,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,976,258,118,kingdom,1.0,0.26,0.0,0.0,0.0,0.4,0.11,True
SemiBin_153,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,686,210,77,kingdom,0.98,0.3,0.0,0.0,0.0,0.4,0.12,True
SemiBin_154,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,281,129,34,phylum,0.94,0.43,0.08,0.35,1.11,0.43,0.18,True
SemiBin_158,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,481,211,65,phylum,0.94,0.41,0.19,0.67,2.73,0.46,0.19,True
SemiBin_16,c__Alphaproteobacteria (UID3422),26,529,308,165,361,3,0,0,0,66.22,0.6,33.33,2745,2515,522,family,0.85,0.78,0.57,0.18,0.46,0.65,0.51,False
SemiBin_161,s__algicola (UID2846),47,571,303,3,563,5,0,0,0,99.01,1.06,20.0,3869,3807,127,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.93,True
SemiBin_163,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,479,193,72,kingdom,1.0,0.4,0.0,0.03,0.05,0.42,0.17,True
SemiBin_165,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,314,121,48,kingdom,1.0,0.39,0.0,0.02,0.05,0.41,0.16,True
SemiBin_167,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,331,35,17,kingdom,1.0,0.11,0.0,0.0,0.0,0.38,0.04,True
SemiBin_168,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,380,126,52,kingdom,1.0,0.33,0.0,0.06,0.12,0.46,0.15,True
SemiBin_17,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,698,258,85,kingdom,1.0,0.37,0.0,0.06,0.13,0.42,0.16,True
SemiBin_171,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,290,126,35,kingdom,1.0,0.43,0.08,0.06,0.13,0.45,0.2,True
SemiBin_172,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,595,200,46,kingdom,0.99,0.33,0.0,0.0,0.0,0.41,0.14,True
SemiBin_173,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,988,294,95,kingdom,0.99,0.3,0.0,0.0,0.0,0.4,0.12,True
SemiBin_177,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1602,303,103,kingdom,1.0,0.19,0.0,0.25,0.59,0.38,0.07,True
SemiBin_178,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,613,254,51,kingdom,1.0,0.41,0.01,0.05,0.11,0.4,0.16,True
SemiBin_179,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,606,262,74,kingdom,1.0,0.43,0.0,0.05,0.1,0.45,0.19,True
SemiBin_18,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,267,103,34,kingdom,1.0,0.39,0.0,0.03,0.06,0.4,0.15,True
SemiBin_180,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,390,152,56,kingdom,1.0,0.39,0.0,0.05,0.11,0.4,0.15,True
SemiBin_184,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,820,315,59,kingdom,0.99,0.38,0.0,0.0,0.0,0.42,0.16,True
SemiBin_19,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,632,310,80,kingdom,1.0,0.49,0.23,0.12,0.27,0.52,0.26,True
SemiBin_191,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,678,293,90,kingdom,1.0,0.43,0.37,0.06,0.14,0.47,0.2,True
SemiBin_192,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,325,136,31,kingdom,0.99,0.41,0.0,0.0,0.0,0.4,0.16,True
SemiBin_193,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,701,228,80,kingdom,1.0,0.32,0.0,0.0,0.0,0.4,0.13,True
SemiBin_194,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,802,318,58,kingdom,1.0,0.4,0.0,0.03,0.06,0.41,0.16,True
SemiBin_20,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,986,397,122,kingdom,1.0,0.4,0.06,0.07,0.15,0.41,0.16,True
SemiBin_201,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,381,131,41,kingdom,1.0,0.34,0.0,0.0,0.0,0.42,0.14,True
SemiBin_202,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,570,176,55,kingdom,1.0,0.31,0.0,0.03,0.06,0.46,0.14,True
SemiBin_203,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,427,113,42,kingdom,1.0,0.26,0.0,0.0,0.0,0.47,0.12,True
SemiBin_205,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,308,162,41,kingdom,1.0,0.53,0.18,0.07,0.14,0.47,0.25,True
SemiBin_210,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,529,271,74,kingdom,1.0,0.51,0.0,0.03,0.07,0.42,0.22,True
SemiBin_216,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,409,131,34,kingdom,1.0,0.32,0.0,0.0,0.0,0.43,0.14,True
SemiBin_219,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,240,105,35,kingdom,1.0,0.44,0.0,0.0,0.0,0.44,0.19,True
SemiBin_223,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,399,71,32,kingdom,1.0,0.18,0.0,0.27,0.64,0.37,0.07,True
SemiBin_229,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,408,173,42,kingdom,1.0,0.42,0.34,0.02,0.05,0.45,0.19,True
SemiBin_231,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,319,66,31,kingdom,1.0,0.21,0.0,0.06,0.13,0.41,0.08,True
SemiBin_232,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,296,118,22,kingdom,1.0,0.4,0.0,0.0,0.0,0.43,0.17,True
SemiBin_234,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,417,135,31,kingdom,1.0,0.32,0.0,0.07,0.16,0.42,0.14,True
SemiBin_24,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,432,188,17,kingdom,1.0,0.44,0.03,0.04,0.08,0.4,0.18,True
SemiBin_240,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,749,232,52,kingdom,1.0,0.31,0.0,0.02,0.04,0.41,0.13,True
SemiBin_241,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,363,124,25,kingdom,0.99,0.34,0.0,0.0,0.0,0.41,0.14,True
SemiBin_243,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,461,177,36,kingdom,0.99,0.38,0.0,0.0,0.0,0.41,0.16,True
SemiBin_245,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,411,152,56,kingdom,1.0,0.37,0.0,0.05,0.1,0.45,0.17,True
SemiBin_25,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,826,414,123,kingdom,1.0,0.5,0.44,0.11,0.25,0.53,0.27,True
SemiBin_251,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,608,266,81,kingdom,1.0,0.44,0.22,0.05,0.11,0.48,0.21,True
SemiBin_255,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,397,168,37,kingdom,1.0,0.42,0.1,0.05,0.1,0.41,0.17,True
SemiBin_256,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,481,168,34,kingdom,0.98,0.34,0.0,0.0,0.0,0.39,0.13,True
SemiBin_257,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,282,125,27,kingdom,1.0,0.44,0.22,0.05,0.1,0.4,0.18,True
SemiBin_27,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,508,81,30,kingdom,1.0,0.16,0.0,0.31,0.74,0.39,0.06,True
SemiBin_270,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,254,100,9,kingdom,0.99,0.39,0.0,0.0,0.0,0.43,0.17,True
SemiBin_272,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,345,337,90,kingdom,1.0,0.98,0.0,0.0,0.0,0.91,0.88,True
SemiBin_273,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,319,133,45,kingdom,1.0,0.42,0.0,0.08,0.18,0.39,0.16,True
SemiBin_274,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,276,129,21,kingdom,1.0,0.47,0.0,0.02,0.05,0.4,0.19,True
SemiBin_275,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,320,126,22,kingdom,1.0,0.39,0.0,0.0,0.0,0.45,0.18,True
SemiBin_277,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,725,255,54,kingdom,0.99,0.35,0.0,0.0,0.0,0.43,0.15,True
SemiBin_287,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,347,301,62,genus,0.59,0.52,0.5,0.37,1.25,0.68,0.35,False
SemiBin_29,s__algicola (UID2846),47,571,303,433,137,1,0,0,0,26.69,0.17,0.0,821,794,202,genus,0.84,0.81,0.34,0.07,0.16,0.92,0.74,True
SemiBin_298,c__Gammaproteobacteria (UID4267),119,541,283,40,496,5,0,0,0,91.17,0.47,0.0,2926,2848,22,family,0.91,0.89,0.22,0.03,0.06,0.91,0.81,True
SemiBin_30,o__Rhodospirillales (UID3754),63,336,201,40,289,7,0,0,0,84.73,0.92,100.0,4007,3922,602,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True
SemiBin_307,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,392,168,38,kingdom,1.0,0.43,0.3,0.07,0.15,0.44,0.19,True
