sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_0.fa	OTU_97.3066.0	0.8319428232859929	1.0	8560408	7121770	7121770	0.8846153846153846	1.0	26	23	23
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_55.fa	OTU_97.90.0	1.0	1.0	1667140	1667140	1667140	1.0	1.0	5	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_41.fa	OTU_97.31171.0	0.9616341222117144	1.0	2017548	1940143	1940143	0.07692307692307693	1.0	13	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_4.fa	OTU_97.40489.0	0.994129494701829	1.0	1624051	1614517	1614517	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_39.fa	OTU_97.37770.0	0.9902352134156206	1.0	1854316	1836209	1836209	0.23809523809523808	1.0	21	5	5
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_31.fa	OTU_97.36767.0	1.0	1.0	1977066	1977066	1977066	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_30.fa	OTU_97.43913.0	0.7245978510773224	1.0	2551418	1848752	1848752	0.05555555555555555	1.0	18	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_5.fa	OTU_97.36762.0	0.9950598440901541	1.0	2169972	2159252	2159252	0.25	1.0	8	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_46.fa	OTU_97.3272.0	1.0	1.0	6823481	6823481	6823481	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_26.fa	OTU_97.16722.0	0.8289628215493248	1.0	2207865	1830238	1830238	0.3	1.0	50	15	15
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_13.fa	OTU_97.162.0	0.9666710548039558	1.0	6874595	6645472	6645472	0.16666666666666666	1.0	6	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_17.fa	OTU_97.38349.0	0.9583002615110829	1.0	2154402	2064564	2064564	0.01639344262295082	1.0	61	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_11.fa	OTU_97.272.0	1.0	1.0	5513878	5513878	5513878	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_14.fa	OTU_97.43871.0	0.8159676903855653	1.0	2581275	2106237	2106237	0.046610169491525424	1.0	236	11	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_47.fa	OTU_97.14853.0	0.9752566322458488	1.0	7874595	7679751	7679751	0.6666666666666666	1.0	3	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_18.fa	OTU_97.40729.0	0.7326578780726498	1.0	2692505	1972685	1972685	0.023255813953488372	1.0	43	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_40.fa	OTU_97.44851.0	0.9760022209102921	0.9999099955357785	1707408	1666434	1666584	0.8333333333333334	0.9375	18	15	16
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_6.fa	OTU_97.19291.0	0.9977436961216057	0.999802698431197	2940650	2934015	2934594	0.7692307692307693	0.9090909090909091	13	10	11
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_48.fa	OTU_97.40724.0	0.9993063969278307	0.9960247826034873	2579285	2577496	2587783	0.9	0.9	10	9	10
gsa	/public/home/pansj/abundance_estimation/CAMI2/Urogenital/multi_to_multi/fairy/5/output2/output_recluster_bins/SemiBin_2.fa	OTU_97.30583.1	0.8956288141261184	0.995322351369046	1982597	1775671	1784016	0.17763157894736842	0.9	152	27	30
