,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID203),5449,104,58,9,36,59,0,0,0,88.97,51.68,84.75,2170,2035,377,phylum,0.94,0.89,0.13,0.03,0.07,0.54,0.48,True
SemiBin_10,c__Gammaproteobacteria (UID4201),1164,275,174,120,151,4,0,0,0,62.57,1.92,50.0,1069,995,160,class,0.88,0.82,0.09,0.16,0.4,0.53,0.44,True
SemiBin_100,k__Bacteria (UID203),5449,104,58,85,19,0,0,0,0,27.59,0.0,0.0,1029,960,203,phylum,0.96,0.9,0.53,0.08,0.18,0.55,0.49,False
SemiBin_101,k__Archaea (UID2),207,149,107,134,8,7,0,0,0,3.37,0.5,0.0,546,134,65,kingdom,1.0,0.25,0.0,0.15,0.34,0.39,0.09,True
SemiBin_102,k__Bacteria (UID203),5449,104,58,98,6,0,0,0,0,8.62,0.0,0.0,578,529,108,phylum,0.96,0.88,0.9,0.37,1.15,0.65,0.57,False
SemiBin_103,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,325,283,44,phylum,0.83,0.72,0.14,0.34,1.09,0.46,0.33,True
SemiBin_104,k__Bacteria (UID2569),434,278,186,47,225,6,0,0,0,83.01,2.87,83.33,1873,1746,244,family,0.82,0.76,0.04,0.72,3.99,0.54,0.41,True
SemiBin_105,k__Bacteria (UID3187),2258,190,119,33,155,2,0,0,0,76.09,0.11,0.0,3102,2647,440,family,0.53,0.45,0.58,0.23,0.62,0.58,0.26,False
SemiBin_107,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,6.27,0.0,0.0,310,285,80,family,0.68,0.63,0.12,0.78,6.93,0.54,0.34,True
SemiBin_108,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,1019,432,114,kingdom,1.0,0.42,0.0,0.03,0.06,0.45,0.19,True
SemiBin_109,k__Bacteria (UID203),5449,104,58,70,34,0,0,0,0,38.17,0.0,0.0,688,675,118,kingdom,1.0,0.98,0.0,0.0,0.0,0.85,0.83,True
SemiBin_11,c__Gammaproteobacteria (UID4201),1164,275,174,85,159,31,0,0,0,68.1,6.38,48.39,990,905,143,class,0.89,0.82,0.05,0.1,0.22,0.52,0.42,True
SemiBin_110,c__Gammaproteobacteria (UID4443),356,451,270,280,163,8,0,0,0,38.11,2.22,75.0,889,868,145,order,0.96,0.94,0.19,0.39,0.91,0.76,0.71,True
SemiBin_111,p__Cyanobacteria (UID2143),129,472,368,252,216,4,0,0,0,48.17,0.82,75.0,1451,1408,233,kingdom,1.0,0.97,0.0,0.0,0.0,0.96,0.93,True
SemiBin_112,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,295,260,47,class,0.74,0.65,0.37,0.51,2.23,0.49,0.32,True
SemiBin_113,k__Bacteria (UID203),5449,104,58,83,21,0,0,0,0,25.78,0.0,0.0,890,841,176,family,0.85,0.81,0.24,0.03,0.06,0.61,0.49,True
SemiBin_114,p__Cyanobacteria (UID2143),129,469,365,155,309,5,0,0,0,66.35,1.11,80.0,1364,1344,226,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
SemiBin_116,c__Gammaproteobacteria (UID4443),356,451,270,159,271,21,0,0,0,59.0,4.34,71.43,1214,1146,139,class,0.91,0.86,0.04,0.13,0.31,0.54,0.46,True
