sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_27.fa	OTU_97.34716.0	0.9636299466861932	1.0	2994909	2885984	2885984	0.3333333333333333	1.0	6	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_33.fa	OTU_97.37297.0	0.97909556922121	1.0	2735975	2678781	2678781	0.6666666666666666	1.0	6	4	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_53.fa	OTU_97.34268.0	1.0	1.0	3802763	3802763	3802763	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_29.fa	OTU_97.31767.0	1.0	1.0	2872737	2872737	2872737	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_3.fa	OTU_97.9718.0	1.0	1.0	3561539	3561539	3561539	1.0	1.0	3	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_30.fa	OTU_97.16289.0	0.9973500037725641	1.0	2716985	2709785	2709785	0.25	1.0	8	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_31.fa	OTU_97.42098.0	0.9880680408678314	1.0	2696791	2664613	2664613	0.6666666666666666	1.0	3	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_5.fa	OTU_97.1440.0	1.0	1.0	1809680	1809680	1809680	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_49.fa	OTU_97.37290.0	1.0	1.0	2792009	2792009	2792009	1.0	1.0	7	7	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_41.fa	OTU_97.44564.0	1.0	1.0	1791648	1791648	1791648	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_45.fa	OTU_97.45063.1	1.0	1.0	1915454	1915454	1915454	1.0	1.0	2	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_36.fa	OTU_97.36183.0	0.8692121596883648	1.0	3244820	2820437	2820437	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_37.fa	OTU_97.37847.0	0.9873388831643075	1.0	2212680	2184665	2184665	0.08	1.0	25	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/strobealign/14/new_norm/output2/output_recluster_bins/SemiBin_38.fa	OTU_97.36286.0	0.999360952344325	1.0	1898137	1896924	1896924	0.5	1.0	2	1	1
