,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_0,k__Bacteria (UID2495),2993,147,91,80,65,2,0,0,0,44.59,1.65,50.0,2280,2129,479,phylum,0.88,0.82,0.33,0.14,0.34,0.66,0.55,True
SemiBin_1,k__Bacteria (UID2982),88,230,148,141,86,3,0,0,0,38.45,1.69,0.0,1021,940,253,genus,0.79,0.73,0.36,0.11,0.24,0.72,0.52,True
SemiBin_11,k__Bacteria (UID3187),2258,188,117,65,117,6,0,0,0,58.4,3.21,50.0,3137,2682,627,family,0.75,0.64,0.25,0.25,0.63,0.62,0.4,True
SemiBin_12,k__Bacteria (UID203),5449,104,58,96,8,0,0,0,0,4.23,0.0,0.0,295,273,82,phylum,0.94,0.87,0.52,0.12,0.3,0.75,0.65,False
SemiBin_13,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,297,291,77,class,0.93,0.92,0.72,0.02,0.05,0.9,0.82,False
SemiBin_14,root (UID1),5656,56,24,53,3,0,0,0,0,12.5,0.0,0.0,1323,1202,366,phylum,0.92,0.84,0.4,0.1,0.23,0.71,0.59,True
SemiBin_15,k__Bacteria (UID203),5449,103,57,98,5,0,0,0,0,3.11,0.0,0.0,293,250,82,order,0.57,0.48,0.89,0.36,0.95,0.7,0.34,False
SemiBin_16,k__Archaea (UID2),207,145,103,89,56,0,0,0,0,33.26,0.0,0.0,709,659,160,kingdom,1.0,0.93,0.33,0.02,0.05,0.85,0.79,True
SemiBin_17,c__Gammaproteobacteria (UID4202),67,481,276,204,273,4,0,0,0,56.55,0.85,50.0,2211,2161,430,genus,0.84,0.82,0.56,0.03,0.06,0.95,0.77,False
SemiBin_18,k__Bacteria (UID203),5449,104,58,77,26,1,0,0,0,34.8,0.86,100.0,2932,2748,599,phylum,0.88,0.82,0.47,0.14,0.31,0.78,0.64,False
SemiBin_19,k__Archaea (UID2),207,145,103,96,49,0,0,0,0,29.13,0.0,0.0,803,706,181,kingdom,1.0,0.88,0.52,0.03,0.06,0.72,0.63,False
SemiBin_2,k__Bacteria (UID203),5449,104,58,91,13,0,0,0,0,8.99,0.0,0.0,427,357,107,order,0.53,0.44,0.27,0.12,0.27,0.63,0.28,True
SemiBin_20,p__Euryarchaeota (UID3),148,188,125,43,135,10,0,0,0,75.13,4.21,80.0,2021,1776,343,order,0.75,0.66,0.41,0.05,0.09,0.68,0.45,True
SemiBin_21,k__Bacteria (UID2982),88,230,148,81,116,32,1,0,0,64.44,14.59,48.57,1978,1837,436,order,0.88,0.82,0.39,0.04,0.07,0.9,0.74,True
SemiBin_22,k__Bacteria (UID2982),88,230,148,59,165,6,0,0,0,76.05,2.57,66.67,2637,2396,363,family,0.8,0.72,0.35,0.04,0.09,0.87,0.63,True
SemiBin_23,p__Euryarchaeota (UID3),148,188,125,17,163,8,0,0,0,90.14,4.67,50.0,2052,1828,254,class,0.8,0.71,0.3,0.09,0.2,0.67,0.48,True
SemiBin_24,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,698,631,200,phylum,0.93,0.84,0.51,0.06,0.12,0.72,0.6,False
SemiBin_25,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,469,438,124,order,0.72,0.67,0.49,0.16,0.39,0.64,0.43,False
SemiBin_26,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,16.38,0.0,0.0,319,289,81,family,0.75,0.68,0.44,0.06,0.14,0.84,0.57,True
SemiBin_3,k__Bacteria (UID203),5449,104,58,72,32,0,0,0,0,40.6,0.0,0.0,2363,2208,451,genus,0.71,0.67,0.29,0.08,0.18,0.67,0.45,True
SemiBin_32,k__Bacteria (UID3187),2258,190,119,140,48,2,0,0,0,22.43,1.68,0.0,1434,1213,363,order,0.49,0.42,0.29,0.41,1.43,0.58,0.24,True
SemiBin_33,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,1174,1086,298,phylum,0.88,0.81,0.42,0.19,0.5,0.65,0.53,True
SemiBin_34,k__Bacteria (UID203),5449,104,58,82,22,0,0,0,0,32.76,0.0,0.0,1338,1215,324,genus,0.73,0.66,0.35,0.08,0.17,0.67,0.45,True
SemiBin_35,k__Bacteria (UID203),5449,104,58,88,15,1,0,0,0,22.41,0.86,0.0,1045,927,259,genus,0.77,0.69,0.24,0.17,0.44,0.68,0.47,True
