,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,k__Bacteria (UID203),5449,104,58, 81,23, 0,0, 0, 0, 33.79,0.00, 0.00,1904,1790,379,genus,0.78,0.74,0.29,0.06,0.13,0.68,0.5,True
bin.102,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,273,217,46,family,0.63,0.5,0.7,0.2,0.54,0.72,0.36,False
bin.11,k__Bacteria (UID3187),2258,188, 117,101,84, 3,0, 0, 0, 46.12,1.88,33.33,2364,2058,430,phylum,0.87,0.76,0.29,0.11,0.25,0.6,0.46,True
bin.13, k__Bacteria (UID203),5449,104,58, 79,24, 1,0, 0, 0, 33.07,0.86,100.00,1921,1865,405,phylum,0.95,0.92,0.3,0.04,0.08,0.82,0.76,True
bin.17,k__Archaea (UID2),207, 149, 107, 73,45, 31, 0, 0, 0, 49.38, 12.54,35.48,1514,1360,340,kingdom,0.98,0.88,0.0,0.0,0.0,0.79,0.69,True
bin.18, k__Bacteria (UID203),5449,104,58, 84,19, 1,0, 0, 0, 23.23,1.72,100.00,1428,1330,396,class,0.89,0.83,0.22,0.06,0.14,0.75,0.63,True
bin.2,k__Bacteria (UID203),5449,104,58, 89,15, 0,0, 0, 0, 11.57,0.00, 0.00,422,354,104,class,0.75,0.63,0.26,0.34,1.18,0.59,0.37,True
bin.20,k__Bacteria (UID2982), 88, 230, 148,132,76, 22, 0, 0, 0, 47.82,8.01,45.45,1449,1363,299,class,0.89,0.84,0.32,0.06,0.12,0.88,0.73,True
bin.25, root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,1152,1039,243,family,0.64,0.58,0.47,0.14,0.34,0.77,0.45,False
bin.29, c__Gammaproteobacteria (UID4202), 67, 481, 276,221, 250, 10, 0, 0, 0, 57.43,1.39,30.00,1830,1795,353,genus,0.87,0.85,0.52,0.03,0.05,0.94,0.8,False
bin.3,k__Bacteria (UID203),5449,104,58, 76,20, 7,1, 0, 0, 44.83, 13.79,30.00,3910,3663,832,genus,0.73,0.69,0.33,0.07,0.15,0.67,0.46,True
bin.30, k__Bacteria (UID203),5449,104,58, 84,20, 0,0, 0, 0, 12.62,0.00, 0.00,1026,896,263,family,0.46,0.4,0.32,0.38,1.25,0.59,0.24,True
bin.31, k__Bacteria (UID203),5449,104,58, 33,42, 24, 4, 1, 0, 62.68, 29.26,47.62,2179,2039,549,family,0.84,0.78,0.29,0.11,0.24,0.73,0.57,True
bin.35, k__Bacteria (UID203),5449,103,58, 93,10, 0,0, 0, 0, 13.79,0.00, 0.00,309,272,75,family,0.46,0.4,0.31,0.39,1.55,0.58,0.23,True
bin.38, k__Bacteria (UID203),5449,104,58, 96,8,0,0, 0, 0, 12.07,0.00, 0.00,1331,1143,350,family,0.58,0.5,0.37,0.28,0.85,0.62,0.31,True
bin.39, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1277,1014,351,family,0.66,0.52,0.44,0.46,1.34,0.65,0.34,True
bin.4,c__Betaproteobacteria (UID3959), 235, 419, 211,106, 297, 16, 0, 0, 0, 77.88,3.84,43.75,2930,2816,483,family,0.77,0.74,0.37,0.06,0.14,0.73,0.54,True
bin.5,k__Bacteria (UID203),5449,104,58, 99,5,0,0, 0, 0,8.62,0.00, 0.00,1289,1144,265,genus,0.48,0.42,0.69,0.15,0.35,0.84,0.36,False
bin.54, c__Alphaproteobacteria (UID3305),564, 349, 230,210, 138, 1,0, 0, 0, 34.24,0.43,100.00,1545,1403,383,order,0.87,0.79,0.28,0.28,0.79,0.64,0.51,True
bin.6, k__Bacteria (UID2982), 88, 230, 148, 58, 127, 39, 5, 1, 0, 79.86, 26.44,33.33,3168,2892,454,family,0.81,0.74,0.29,0.04,0.08,0.85,0.63,True
bin.67, root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,426,393,121,genus,0.84,0.77,0.91,0.02,0.05,0.67,0.52,False
bin.7,c__Gammaproteobacteria (UID4202), 67, 481, 276,318, 159, 4,0, 0, 0, 33.80,0.18,25.00,1015,991,236,family,0.85,0.83,0.63,0.04,0.09,0.81,0.68,False
bin.74, k__Bacteria (UID203),5449,104,58, 94,10, 0,0, 0, 0,6.97,0.00, 0.00,307,288,72,genus,0.79,0.74,0.51,0.11,0.26,0.71,0.53,False
recluster_19.bin.0, p__Euryarchaeota (UID3), 148, 188, 125, 17, 141, 28, 2, 0, 0, 90.14, 20.67,58.82,2491,2192,343,class,0.77,0.68,0.34,0.09,0.21,0.67,0.45,True
recluster_19.bin.1, p__Euryarchaeota (UID3), 148, 188, 125, 66, 113, 8,1, 0, 0, 59.53,4.61,54.55,1594,1424,259,class,0.79,0.71,0.34,0.04,0.08,0.68,0.48,True
