sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	OTU_97.23327.0	OTU_97.23327.0	1.0	1.0	2045477	2045477	2045477	1.0	1.0	5659	5659	5659
gsa	OTU_97.1182.1	OTU_97.1182.1	1.0	1.0	1649804	1649804	1649804	1.0	1.0	112	112	112
gsa	OTU_97.27694.0	OTU_97.27694.0	1.0	1.0	2398168	2398168	2398168	1.0	1.0	129	129	129
gsa	OTU_97.740.1	OTU_97.740.1	1.0	1.0	2185706	2185706	2185706	1.0	1.0	35	35	35
gsa	OTU_97.912.0	OTU_97.912.0	1.0	1.0	4107407	4107407	4107407	1.0	1.0	1	1	1
gsa	OTU_97.68.0	OTU_97.68.0	1.0	1.0	3592092	3592092	3592092	1.0	1.0	1	1	1
gsa	OTU_97.30976.0	OTU_97.30976.0	1.0	1.0	1274063	1274063	1274063	1.0	1.0	1	1	1
gsa	OTU_97.240.0	OTU_97.240.0	1.0	1.0	4351824	4351824	4351824	1.0	1.0	3	3	3
gsa	OTU_97.3427.0	OTU_97.3427.0	1.0	1.0	6472473	6472473	6472473	1.0	1.0	1	1	1
gsa	OTU_97.463.0	OTU_97.463.0	1.0	1.0	1967074	1967074	1967074	1.0	1.0	1	1	1
gsa	OTU_97.2496.0	OTU_97.2496.0	1.0	1.0	6453532	6453532	6453532	1.0	1.0	1	1	1
gsa	OTU_97.45053.0	OTU_97.45053.0	1.0	1.0	1914479	1914479	1914479	1.0	1.0	1	1	1
gsa	OTU_97.44483.0	OTU_97.44483.0	1.0	1.0	2974165	2974165	2974165	1.0	1.0	4	4	4
gsa	OTU_97.40660.0	OTU_97.40660.0	1.0	1.0	3168264	3168264	3168264	1.0	1.0	2	2	2
gsa	OTU_97.4094.1	OTU_97.4094.1	1.0	1.0	2865732	2865732	2865732	1.0	1.0	3	3	3
gsa	OTU_97.3048.0	OTU_97.3048.0	1.0	1.0	2807504	2807504	2807504	1.0	1.0	1	1	1
gsa	OTU_97.5710.0	OTU_97.5710.0	1.0	1.0	4145537	4145537	4145537	1.0	1.0	3	3	3
gsa	OTU_97.18196.0	OTU_97.18196.0	1.0	1.0	4147134	4147134	4147134	1.0	1.0	1	1	1
gsa	OTU_97.19895.0	OTU_97.19895.0	1.0	1.0	4086179	4086179	4086179	1.0	1.0	1	1	1
gsa	OTU_97.40664.1	OTU_97.40664.1	1.0	1.0	3998506	3998506	3998506	1.0	1.0	14	14	14
gsa	OTU_97.365.0	OTU_97.365.0	1.0	1.0	4597167	4597167	4597167	1.0	1.0	3	3	3
gsa	OTU_97.512.0	OTU_97.512.0	1.0	1.0	3611863	3611863	3611863	1.0	1.0	1	1	1
gsa	OTU_97.819.0	OTU_97.819.0	1.0	1.0	4586734	4586734	4586734	1.0	1.0	1	1	1
gsa	OTU_97.3903.1	OTU_97.3903.1	1.0	1.0	5339166	5339166	5339166	1.0	1.0	1	1	1
gsa	OTU_97.4748.0	OTU_97.4748.0	1.0	1.0	4468264	4468264	4468264	1.0	1.0	2	2	2
gsa	OTU_97.6577.0	OTU_97.6577.0	1.0	1.0	1619978	1619978	1619978	1.0	1.0	2	2	2
gsa	OTU_97.158.0	OTU_97.158.0	1.0	1.0	5532456	5532456	5532456	1.0	1.0	1	1	1
gsa	OTU_97.43848.0	OTU_97.43848.0	1.0	1.0	1783752	1783752	1783752	1.0	1.0	107	107	107
