sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_42.fa	OTU_97.24656.0	0.9987543605678068	1.0	2108957	2106330	2106330	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_46.fa	OTU_97.10273.0	0.992818325268169	1.0	2546342	2528055	2528055	0.2	1.0	5	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_8.fa	OTU_97.45365.1	0.9691621661569247	1.0	2198825	2131018	2131018	0.3333333333333333	1.0	9	3	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_31.fa	OTU_97.44585.0	0.9765649047927761	1.0	2907605	2839465	2839465	0.18181818181818182	1.0	11	2	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_7.fa	OTU_97.16297.0	0.5758940413872246	1.0	4810180	2770154	2770154	0.043478260869565216	1.0	23	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_48.fa	OTU_97.29637.1	0.9987837104131776	1.0	2438564	2435598	2435598	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_37.fa	OTU_97.34382.0	0.9989611027993266	1.0	2563295	2560632	2560632	0.8181818181818182	1.0	11	9	9
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_38.fa	OTU_97.270.0	1.0	1.0	2501077	2501077	2501077	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_39.fa	OTU_97.44237.0	0.9983831965391171	1.0	2620603	2616366	2616366	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_47.fa	OTU_97.544.0	0.9958163130847278	1.0	2974888	2962442	2962442	0.3333333333333333	1.0	3	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_40.fa	OTU_97.39526.0	0.9984794413399418	1.0	5318440	5310353	5310353	0.2	1.0	5	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_41.fa	OTU_97.6382.0	0.999816791510335	1.0	5638385	5637352	5637352	0.5	1.0	2	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_2.fa	OTU_97.34494.0	0.9569204065413307	1.0	3008501	2878896	2878896	0.0625	1.0	16	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_44.fa	OTU_97.18938.0	1.0	1.0	2151141	2151141	2151141	1.0	1.0	1	1	1
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_45.fa	OTU_97.32002.1	0.9984553271816651	0.9950572763459898	2294337	2290793	2302172	0.6666666666666666	0.6666666666666666	3	2	3
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_43.fa	OTU_97.35048.0	0.995116072783979	0.9943151842174323	2562487	2549972	2564551	0.5555555555555556	0.7142857142857143	9	5	7
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_1.fa	OTU_97.35920.0	0.7885408695598295	0.9926823292735548	3550601	2799794	2820433	0.034482758620689655	0.5	29	1	2
gsa	/public/home/pansj/abundance_estimation/CAMI2/Skin/multi_to_multi/seed/S28/new_norm/output0/output_recluster_bins/SemiBin_33.fa	OTU_97.35712.0	0.9863258222275273	0.99083051779681	2940579	2900369	2927210	0.0625	0.5	16	1	2
