sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	OTU_97.28509.0	OTU_97.28509.0	1.0	1.0	1770011	1770011	1770011	1.0	1.0	2063	2063	2063
gsa	OTU_97.373.0	OTU_97.373.0	1.0	1.0	6680815	6680815	6680815	1.0	1.0	2166	2166	2166
gsa	OTU_97.36060.0	OTU_97.36060.0	1.0	1.0	4173277	4173277	4173277	1.0	1.0	26	26	26
gsa	OTU_97.36696.1	OTU_97.36696.1	1.0	1.0	3258654	3258654	3258654	1.0	1.0	131	131	131
gsa	OTU_97.22877.0	OTU_97.22877.0	1.0	1.0	6367374	6367374	6367374	1.0	1.0	34	34	34
gsa	OTU_97.29336.0	OTU_97.29336.0	1.0	1.0	2402653	2402653	2402653	1.0	1.0	557	557	557
gsa	OTU_97.26886.0	OTU_97.26886.0	1.0	1.0	4617930	4617930	4617930	1.0	1.0	37	37	37
gsa	OTU_97.558.0	OTU_97.558.0	1.0	1.0	6228424	6228424	6228424	1.0	1.0	11	11	11
gsa	OTU_97.36395.0	OTU_97.36395.0	1.0	1.0	6814870	6814870	6814870	1.0	1.0	1	1	1
gsa	OTU_97.36696.0	OTU_97.36696.0	1.0	1.0	17907	17907	17907	1.0	1.0	74	74	74
gsa	OTU_97.39620.0	OTU_97.39620.0	1.0	1.0	1978305	1978305	1978305	1.0	1.0	3	3	3
gsa	OTU_97.9203.1	OTU_97.9203.1	1.0	1.0	3663	3663	3663	1.0	1.0	17	17	17
gsa	OTU_97.162.0	OTU_97.162.0	1.0	1.0	6645474	6645474	6645474	1.0	1.0	1	1	1
gsa	OTU_97.3272.0	OTU_97.3272.0	1.0	1.0	6823524	6823524	6823524	1.0	1.0	2	2	2
gsa	OTU_97.14853.0	OTU_97.14853.0	1.0	1.0	7679712	7679712	7679712	1.0	1.0	2	2	2
gsa	OTU_97.30084.0	OTU_97.30084.0	1.0	1.0	6316965	6316965	6316965	1.0	1.0	1	1	1
gsa	OTU_97.3066.0	OTU_97.3066.0	1.0	1.0	7122166	7122166	7122166	1.0	1.0	1	1	1
gsa	OTU_97.24737.1	OTU_97.24737.1	1.0	1.0	5611114	5611114	5611114	1.0	1.0	4	4	4
gsa	OTU_97.36691.0	OTU_97.36691.0	1.0	1.0	1610287	1610287	1610287	1.0	1.0	1	1	1
gsa	OTU_97.1829.0	OTU_97.1829.0	1.0	1.0	3032076	3032076	3032076	1.0	1.0	1	1	1
gsa	OTU_97.272.0	OTU_97.272.0	1.0	1.0	5513886	5513886	5513886	1.0	1.0	1	1	1
gsa	OTU_97.1036.0	OTU_97.1036.0	1.0	1.0	48388	48388	48388	1.0	1.0	203	203	203
gsa	OTU_97.1036.1	OTU_97.1036.1	1.0	1.0	3327414	3327414	3327414	1.0	1.0	808	808	808
gsa	OTU_97.19349.0	OTU_97.19349.0	1.0	1.0	2129250	2129250	2129250	1.0	1.0	88	88	88
gsa	OTU_97.8066.0	OTU_97.8066.0	1.0	1.0	1724808	1724808	1724808	1.0	1.0	2048	2048	2048
gsa	OTU_97.908.0	OTU_97.908.0	1.0	1.0	6126449	6126449	6126449	1.0	1.0	7110	7110	7110
gsa	OTU_97.8468.0	OTU_97.8468.0	1.0	1.0	4209794	4209794	4209794	1.0	1.0	8191	8191	8191
gsa	OTU_97.477.0	OTU_97.477.0	1.0	1.0	2088502	2088502	2088502	1.0	1.0	2455	2455	2455
gsa	OTU_97.26780.0	OTU_97.26780.0	1.0	1.0	3001529	3001529	3001529	1.0	1.0	3555	3555	3555
gsa	OTU_97.391.0	OTU_97.391.0	1.0	1.0	6591994	6591994	6591994	1.0	1.0	7830	7830	7830
gsa	OTU_97.373.1	OTU_97.373.1	1.0	1.0	6152776	6152776	6152776	1.0	1.0	5610	5610	5610
gsa	OTU_97.8468.1	OTU_97.8468.1	1.0	1.0	3644378	3644378	3644378	1.0	1.0	10054	10054	10054
gsa	OTU_97.391.1	OTU_97.391.1	1.0	1.0	134969	134969	134969	1.0	1.0	558	558	558
gsa	OTU_97.2666.0	OTU_97.2666.0	1.0	1.0	1541316	1541316	1541316	1.0	1.0	2313	2313	2313
gsa	OTU_97.10391.0	OTU_97.10391.0	1.0	1.0	2422814	2422814	2422814	1.0	1.0	2846	2846	2846
gsa	OTU_97.9203.0	OTU_97.9203.0	1.0	1.0	2602568	2602568	2602568	1.0	1.0	3078	3078	3078
gsa	OTU_97.141.1	OTU_97.141.1	1.0	1.0	2472556	2472556	2472556	1.0	1.0	3043	3043	3043
gsa	OTU_97.2666.1	OTU_97.2666.1	1.0	1.0	969050	969050	969050	1.0	1.0	3313	3313	3313
gsa	OTU_97.26970.0	OTU_97.26970.0	1.0	1.0	3155137	3155137	3155137	1.0	1.0	761	761	761
gsa	OTU_97.1829.1	OTU_97.1829.1	1.0	1.0	1108560	1108560	1108560	1.0	1.0	3543	3543	3543
gsa	OTU_97.39188.0	OTU_97.39188.0	1.0	1.0	2412551	2412551	2412551	1.0	1.0	2879	2879	2879
gsa	OTU_97.13075.0	OTU_97.13075.0	1.0	1.0	2796868	2796868	2796868	1.0	1.0	3234	3234	3234
gsa	OTU_97.141.0	OTU_97.141.0	1.0	1.0	187667	187667	187667	1.0	1.0	750	750	750
gsa	OTU_97.24737.0	OTU_97.24737.0	1.0	1.0	5418659	5418659	5418659	1.0	1.0	1	1	1
